River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
1
Level
m
Rising or
Falling","8 hr RF in
m at 3:00
am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.30,3.30,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.89,3.98,Normal,,12.7
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.11,12.12,Normal,,17.2
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.66,1.63,Normal,,29.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.34,1.30,Normal,,11.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.17,1.12,Normal,,22.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.03,1.02,Normal,,5.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.20,2.20,Normal,,39.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.40,7.38,Normal,,38.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.94,2.91,Normal,,20.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.67,2.62,Normal,,21.8
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.96,4.96,Normal,,38.1
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.44,3.43,Normal,,18.6
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.83,1.83,Normal,,20.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.68,0.68,Normal,,11.9
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.37,3.34,Normal,,17.7
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.08,1.05,Normal,,7.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.19,0.18,Normal,,6.1
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.86,0.86,Normal,,3.1
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.34,1.32,Normal,,0.6
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.29,1.28,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.42,1.40,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.17,0.16,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.26,1.22,Normal,,0.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.61,0.60,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.43,0.43,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.52,0.53,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.35,-1.35,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.56,3.36,Normal,,14.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.68,1.66,Normal,,14.9
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.55,0.52,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.70,1.70,Normal,,0.8
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.84,0.84,Normal,,4.2
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.60,2.60,Normal,,14.3
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.60,2.52,Normal,,7.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.68,3.65,Normal,,25.5
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.70,2.80,Normal,,17.1
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.20,2.16,Normal,,11.2
