River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9:00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.90,1.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.32,3.28,Normal,,25.3,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.85,10.85,Normal,,14,.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.90,1.90,Normal,,8.4,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.92,0.91,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.15,1.10,Normal,,18.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.98,Normal,,1.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.02,2.01,Normal,,24.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.94,9.64,Normal,,21.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.61,2.58,Normal,,4.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.08,3.05,Normal,,1.0,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,4.88,4.89,Normal,,12,.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.04,3.01,Normal,,1.5,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.79,1.77,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.66,0.63,Normal,,3.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.98,2.96,Normal,,6.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.60,0.60,Normal,,0.7,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.14,0.14,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.79,0.79,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.98,0.98,Normal,,1.1,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.07,1.09,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.32,1.31,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.02,-0.03,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.98,0.98,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.54,0.54,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.32,0.32,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.78,0.78,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.12,-1.84,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.50,2.70,Normal,,1.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.41,1.43,Normal,,6.1,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.42,0.38,Normal,,1.1,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.59,1.58,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.57,0.57,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.89,1.88,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.45,0.45,Normal,,5.1,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.25,2.26,Normal,,19.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.27,3.26,Normal,,14,.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.08,2.07,Normal,,20.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.72,1.72,Normal,,0.6,,
