River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 hr RF in
mm at
12:00
midnight",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,2.40,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.22,3.20,Normal,,32.5,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.92,11.05,Normal,,26.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.88,1.53,Normal,,1,3.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.91,0.90,Normal,,5.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.00,1.12,Normal,,32.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.98,Normal,,1.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.00,2.00,Normal,,26.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.93,6.92,Normal,,33.2,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.51,2.48,Normal,,4.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.97,2.95,Normal,,5.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.90,4.90,Normal,,1,6.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.96,2.92,Normal,,5.9,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.73,1.71,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.58,0.58,Normal,,3.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.95,2.92,Normal,,6.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.60,0.60,Normal,,0.7,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.14,0.14,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.78,0.78,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.98,0.98,Normal,,1.1,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.11,1.11,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.05,-0.06,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.97,0.96,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.53,0.53,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.32,0.32,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.78,0.78,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.65,-1.58,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.90,2.96,Normal,,1.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.43,1.45,Normal,,8.4,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.40,0.40,Normal,,1.1,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.58,1.58,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.56,0.56,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.85,1.84,Normal,,2.5,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.26,2.26,Normal,,27.9,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.23,3.22,Normal,,1,6.4,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.97,1.95,Normal,,24.7,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.60,1.53,Normal,,6.1,,
