River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
9
Level
m
Rising or
Falling","Hr RF in
m at 6.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.90,2.80,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.93,3.87,Normal,,1.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.23,11.20,Normal,,5.1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.95,1.95,Normal,,3.8
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.12,1.16,Normal,,9.8
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.12,1.14,Normal,,5.5
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.01,1.00,Normal,,7.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.46,2.45,Normal,,11.7
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.83,7.78,Normal,,4.4
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.32,3.38,Normal,,23.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.43,2.39,Normal,,5.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.85,5.85,Alert,,4.8
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.74,2.71,Normal,,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.12,2.10,Normal,,12.7
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.80,0.80,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.04,2.98,Normal,,1.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.79,0.81,Normal,,10.6
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.29,0.31,Normal,,4.6
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.88,0.88,Normal,,4.8
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.63,0.61,Normal,,4.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.88,0.88,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.18,1.17,Normal,,1.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.09,-0.08,Normal,,4.4
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.77,Normal,,5.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.51,0.51,Normal,,0.7
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.25,0.25,Normal,,15.2
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.30,0.30,Normal,,22.7
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.33,-2.43,Normal,,2.4
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.54,2.73,Normal,,7.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.57,1.53,Normal,,12.6
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.36,0.35,Normal,,0.5
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.52,1.52,Normal,,11.9
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.62,0.62,Normal,,24.3
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.13,2.18,Normal,,24.1
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.78,0.80,Normal,,14.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.19,2.87,Normal,,6.2
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.60,3.59,Normal,,8.8
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.55,2.58,Normal,,17.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.54,2.58,Normal,,18.0
