River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.30,2.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.72,3.70,Normal,,10.5
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.40,11.48,Normal,,17.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.75,1.75,Normal,,29.3
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.13,1.12,Normal,,15.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.13,1.19,Normal,,11.9
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.00,0.99,Normal,,13.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.44,2.44,Normal,,33.4
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.61,7.72,Normal,,26.4
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.53,4.80,Normal,,52.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.22,3.19,Normal,,9.1
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.90,5.96,Alert,Rising,28.8
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.60,2.60,Normal,,20.5
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.16,NA,Normal,,15.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.76,0.76,Normal,,2.7
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.90,2.95,Normal,,7.7
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.90,0.91,Normal,,17.3
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.56,0.60,Normal,,10.5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.87,0.87,Normal,,6.3
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.57,0.57,Normal,,5.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.96,0.97,Normal,,1.4
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.16,1.16,Normal,,2.1
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.08,-0.08,Normal,,4.6
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.77,0.77,Normal,,5.9
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.52,0.52,Normal,,1.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.24,0.24,Normal,,15.2
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.52,0.56,Normal,,22.7
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.00,-1.90,Normal,,2.4
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.25,3.20,Normal,,9.8
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.93,2.07,Normal,,18.4
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.29,0.29,Normal,,0.9
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.65,1.67,Normal,,11.9
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.61,0.60,Normal,,24.3
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.50,2.54,Normal,,24.1
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.32,2.32,Normal,,6.2
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.60,3.61,Normal,,9.5
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.58,2.56,Normal,,19.5
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.65,2.69,Normal,,27.0
