River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.15,3.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.92,3.92,Normal,,33.3
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.65,11.61,Normal,,22.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.73,1.72,Normal,,43.3
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.11,1.13,Normal,,20.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.17,1.21,Normal,,25.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.02,1.04,Normal,,16.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.41,2.42,Normal,,65.6
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.78,7.95,Normal,,70.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.37,5.31,Alert,Falling,69.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.16,3.18,Normal,,14.3
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.88,5.94,Alert,Rising,64.9
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.62,2.65,Normal,,37.9
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.31,2.37,Normal,,28.1
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.73,0.73,Normal,,3.8
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.18,3.23,Normal,,12.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.00,1.03,Normal,,18.6
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.70,0.66,Normal,,15.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.87,0.90,Normal,,6.6
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.58,0.61,Normal,,5.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.96,0.93,Normal,,1.4
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.15,1.15,Normal,,2.1
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.08,-0.09,Normal,,4.6
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.78,Normal,,5.9
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.52,0.52,Normal,,1.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.23,0.23,Normal,,15.2
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.50,0.48,Normal,,22.7
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.81,-2.08,Normal,,2.4
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.60,2.46,Normal,,19.4
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.66,1.64,Normal,,20.5
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.29,0.30,Normal,,0.9
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.64,1.64,Normal,,11.9
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.58,0.58,Normal,,24.3
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.66,2.68,Normal,,24.1
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.42,2.49,Normal,,10.1
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.56,3.55,Normal,,11.1
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.48,2.46,Normal,,23.7
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.71,2.71,Normal,,49.0
