River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 hr RF in
mm at
12:00
midnight",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.40,1.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.54,1.52,Normal,,5.8,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.69,9.75,Normal,,4.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.76,1.70,Normal,,18.6,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.83,0.78,Normal,,59.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.73,0.74,Normal,,3.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.10,1.04,Normal,,18.9,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.06,1.05,Normal,,17.6,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.78,5.78,Normal,,1.6,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.17,2.19,Normal,,14.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.54,1.56,Normal,,4.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.08,3.00,Normal,,0.8,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.94,1.94,Normal,,23.1,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.65,1.68,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.69,0.72,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.41,3.42,Normal,,12.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.96,0.94,Normal,,41,.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.38,0.38,Normal,,6.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.29,1.33,Normal,,3.8,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.65,2.05,Normal,,81.6,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.20,1.16,Normal,,44,.8,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.45,3.64,Normal,,27.3,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.84,0.93,Normal,,1.5,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.77,Normal,,18.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.48,0.48,Normal,,3.8,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.80,0.76,Normal,,27.5,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.05,-0.03,Normal,,14.9,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.98,-2.58,Normal,,14.2,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.25,3.10,Normal,,5.8,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.16,1.15,Normal,,4.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.40,0.42,Normal,,6.8,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.35,2.35,Normal,,24.8,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.50,1.65,Normal,,54.3,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.62,1.62,Normal,,0.8,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.73,0.72,Normal,,2.4,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.18,2.18,Normal,,0.0,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.11,1.13,Normal,,0.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.96,0.96,Normal,,0.8,,
