River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.90,1.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.71,2.80,Normal,,27.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.43,11.45,Normal,,9.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.88,1.80,Normal,,15.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.29,1.34,Normal,,8.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.36,1.26,Normal,,77.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.36,1.38,Normal,,15.4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.98,1.98,Normal,,1.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.95,7.05,Normal,,52.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.66,5.64,Alert,Falling,49.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.28,3.36,Normal,,43.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.80,5.78,Alert,Falling,20.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.82,3.80,Alert,Falling,1.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.05,2.05,Normal,,5.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,-,-,,,-,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.94,5.08,Alert,Rising,5.1,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.36,3.37,Normal,,12.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.28,1.99,Normal,,107.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.59,1.59,Normal,,14.8,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.82,1.89,Normal,,0.5,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.53,1.51,Normal,,13.2,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.10,2.15,Normal,,1.6,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.99,1.20,Normal,,0.5,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,3.25,3.23,Normal,,18.4,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.46,1.78,Normal,,16.1,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,2.70,2.75,Normal,,34.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.99,2.05,Normal,,28.5,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-0.76,-0.68,Normal,,78.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.72,3.64,Normal,,16.7,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.45,1.48,Normal,,18.5,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.62,1.56,Normal,,38.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,4.79,4.78,Normal,,22.6,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.50,1.48,Normal,,18.7,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.66,2.68,Normal,,12.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.12,5.10,Alert,Falling,5.2,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.98,3.94,Normal,,0.0,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.01,3.00,Normal,,0.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.84,3.72,Alert,Falling,0.5,
