River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,2.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.58,2.52,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.46,10.41,Normal,,0.4,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.58,1.70,Normal,,1.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.00,0.99,Normal,,0.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.85,0.86,Normal,,0.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.20,1.18,Normal,,2.6,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.95,1.95,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.72,7.70,Normal,,1.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.32,4.17,Normal,,0.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.32,2.30,Normal,,0.8,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.19,5.14,Alert,Falling,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.42,3.41,Normal,,7.2,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.05,2.05,Normal,,8.7,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.52,Alert,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.85,4.74,Normal,,3.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.58,1.50,Normal,,5.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.02,1.00,Normal,,1.2,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.30,1.30,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.64,1.64,Normal,,1.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.35,1.35,Normal,,2.8,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.88,1.87,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.40,1.41,Normal,,1.5,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.66,2.58,Normal,,16.,,8
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.52,2.49,Normal,,5.9,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.75,1.90,Normal,,17.,,1
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,2.69,2.68,Normal,,10.3,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.10,-1.15,Normal,,16.,,4
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.15,3.10,Normal,,6.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.36,1.36,Normal,,5.6,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.36,1.34,Normal,,1,3.4,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,4.68,4.66,Normal,,28.3,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.14,1.12,Normal,,8.6,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.75,2.72,Normal,,2.8,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.38,3.39,Normal,,8.3,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.77,3.70,Normal,,0.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.65,3.59,Normal,,0.2,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.53,2.46,Normal,,0.9,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.30,2.26,Normal,,0.0,,
