River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,2.20,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.14,5.35,Normal,,9.3,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.44,14.59,Normal,,9.1,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.35,2.45,Normal,,12.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,4.34,4.34,Minor Flood,,10.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.71,2.87,Normal,,28.,,9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,2.45,2.53,Alert,Rising,9.2,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.51,1.50,Normal,,7.5,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.00,7.14,Normal,,10.1,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.30,4.57,Normal,,17.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.04,3.09,Normal,,4.0,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,4.60,4.62,Normal,,8.7,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.08,3.08,Normal,,4.1,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.44,2.49,Normal,,10.6,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.79,1.70,Minor Flood,Falling,1.5,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.49,5.45,Alert,Falling,3.5,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.30,2.24,Normal,,4.7,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.55,1.60,Normal,,7.8,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.77,1.80,Normal,,4.6,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,5.55,5.52,Major Flood,Falling,6.6,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,2.75,2.53,Normal,,1.9,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,5.47,5.47,Normal,,1.5,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,5.70,5.88,Minor Flood,Rising,6.6,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,5.50,4.86,Normal,,13.1,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,4.69,4.57,Alert,Falling,8.3,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,4.45,4.30,Alert,Falling,4.5,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,5.37,5.38,Minor Flood,Rising,8.4,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,5.98,7.90,Minor Flood,Rising,5.6,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,8.50,8.62,Minor Flood,Rising,2,3.6,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,4.16,3.76,Alert,Falling,17.2,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,3.70,3.20,Alert,Falling,29.,,2,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,7.72,7.73,Minor Flood,Rising,35.5,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,5.68,5.68,Minor Flood,,48.5,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,8.00,8.13,Major Flood,Rising,34.8,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,5.23,5.37,Alert,Rising,15.5,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.21,6.27,Minor Flood,Rising,2,2.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,6.65,6.90,Minor Flood,Rising,16.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,8.02,8.16,Major Flood,Rising,14.9,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.80,3.90,Alert,Rising,3.8,,,
