River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,5.70,5.70,Minor Flood,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.95,9.15,Minor Flood,Rising,,22.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,19.90,20.17,Major Flood,Rising,47.,,6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,6.25,6.48,Major Flood,Rising,82.9,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,5.89,5.78,Major Flood,Falling,,33.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,8.08,8.55,Major Flood,Rising,58.,,7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,2.75,2.89,Alert,Rising,44.,,8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.82,2.92,Normal,,14.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,NA,NA,,,-,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,9.40,9.60,Major Flood,Rising,,31.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.14,5.20,Alert,Rising,9.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.64,6.74,Minor Flood,Rising,10.5,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.07,3.10,Normal,,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,4.15,4.12,Alert,Falling,2.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.68,1.68,Alert,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.17,5.21,Alert,Rising,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.45,2.49,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.80,1.70,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,4.68,4.78,Alert,Rising,2.7,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,3.47,3.33,Normal,,2.2,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.87,1.83,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.53,3.40,Normal,,3.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,7.54,7.58,Major Flood,Rising,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.60,2.50,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.64,2.55,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,NA,NA,,,-,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,NA,,,-,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,NA,NA,,,-,,
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,-,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,NA,NA,,,-,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,NA,NA,,,-,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,8.38,8.39,Minor Flood,Rising,-,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,NA,NA,,,-,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,NA,NA,,,-,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,NA,NA,,,-,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,10.15,10.31,Major Flood,Rising,,26.4,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,11.26,11.38,Major Flood,Rising,44.,,5
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.51,5.61,Major Flood,Rising,53.,,2
