River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,6.10,6.10,Minor Flood,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,9.90,9.98,Minor Flood,Rising,,41.6,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,21.75,21.83,Major Flood,Rising,9,,1.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,4.15,4.05,Minor Flood,Falling,152.,,,5
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,6.92,7.07,Major Flood,Rising,135.,,,2
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,4.86,4.40,Normal,,8,,8.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,NA,NA,,,-,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.35,3.39,Alert,Rising,15.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,NA,NA,,,-,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,10.18,10.12,Major Flood,Falling,,38.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.46,5.46,Alert,,13.9,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,7.34,7.48,Minor Flood,Rising,15.9,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.24,3.25,Normal,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.27,3.19,Normal,,3.9,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.67,1.67,Alert,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.04,5.01,Alert,Falling,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.09,2.05,Normal,,0.6,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.25,1.23,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,4.18,4.10,Alert,Falling,4.7,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.94,2.93,Normal,,2.2,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.63,1.61,Normal,,0.5,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.04,3.03,Normal,,3.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,7.61,7.58,Major Flood,Falling,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.25,2.25,Normal,,1.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.09,2.04,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.80,1.75,Normal,,0.7,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,NA,,,-,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,NA,NA,,,-,,,
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,-,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,NA,NA,,,-,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,NA,NA,,,-,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,8.20,8.15,Minor Flood,Falling,5.1,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,NA,NA,,,-,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,NA,NA,,,-,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,NA,NA,,,-,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,11.97,12.19,Major Flood,Rising,215.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,12.24,12.31,Major Flood,Rising,207.7,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,6.56,6.68,Major Flood,Rising,211.0,,,
