River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,6.20,6.20,Minor Flood,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,10.56,10.60,Major Flood,Rising,,41.6,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,21.47,21.39,Major Flood,Falling,215.1,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,3.28,3.15,Alert,Falling,160.3,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,NA,NA,,,-,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.78,2.74,Normal,,9,,2.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,NA,NA,,,-,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.74,3.75,Alert,Rising,15.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,NA,11.50,Minor Flood,,-,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,9.10,9.01,Minor Flood,Falling,-,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.91,4.89,Alert,Falling,14.7,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,8.00,8.03,Major Flood,Rising,17.9,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.31,3.30,Normal,,0.8,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.55,2.58,Normal,,6.1,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.65,1.66,Alert,Rising,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.76,4.69,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.58,1.57,Normal,,0.6,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.00,0.99,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.49,2.45,Normal,,3.1,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.26,2.22,Normal,,2.2,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.45,1.44,Normal,,1.8,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.57,2.55,Normal,,4.5,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,6.48,6.28,Minor Flood,Falling,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.30,2.25,Normal,,2.1,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.66,1.63,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,NA,NA,,,-,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,NA,,,-,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,NA,NA,,,-,,,
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,-,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,NA,NA,,,-,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,NA,NA,,,-,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,7.82,7.80,Minor Flood,Falling,8.2,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,NA,NA,,,-,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,NA,NA,,,-,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,NA,NA,,,-,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,13.50,13.46,Major Flood,Falling,217.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,12.51,12.49,Major Flood,Falling,-,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,6.96,6.92,Major Flood,Falling,217.7,,,
