River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,6.80,6.80,Minor Flood,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,10.93,10.95,Major Flood,Rising,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,19.67,19.50,Major Flood,Falling,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.80,2.75,Normal,,2.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.25,2.24,Normal,,,0.3,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.04,2.01,Normal,,,0.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.60,1.58,Alert,Falling,,,1.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.00,4.02,Minor Flood,Rising,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,NA,NA,,,-,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,7.90,7.85,Minor Flood,Falling,,,1.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.24,4.22,Alert,Falling,0.0,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,8.15,8.14,Major Flood,Falling,,0.6,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.00,2.96,Normal,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.37,2.36,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.50,Alert,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.33,4.32,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.42,1.41,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.89,0.89,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.90,1.88,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.05,2.04,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.34,1.34,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.28,2.26,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.70,1.65,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.04,2.03,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.49,1.47,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,NA,NA,,,-,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,NA,,,-,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,NA,NA,,,-,,,
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,-,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,NA,NA,,,-,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,NA,NA,,,-,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,7.65,7.64,Minor Flood,Falling,2.8,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,2.00,1.99,Normal,,-,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,NA,NA,,,-,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,NA,NA,,,-,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,12.35,12.20,Major Flood,Falling,,0.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,7.60,6.95,Minor Flood,Falling,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.85,5.75,Major Flood,Falling,,0.5,,
