River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,7.20,7.10,Major Flood,Falling,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.36,7.29,Alert,Falling,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.39,11.37,Normal,,0.0
,Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.18,1.98,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.25,1.24,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.11,1.09,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.14,1.13,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.81,3.78,Alert,Falling,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.83,9.77,Normal,,0.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.69,3.59,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.95,1.94,Normal,,0.0
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,6.10,6.04,Alert,Falling,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.67,1.66,Normal,,0.0
,Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.82,1.80,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.64,0.64,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.10,3.09,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.99,0.99,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.61,0.61,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.77,1.76,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.34,1.33,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.21,1.20,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.77,1.77,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.50,0.42,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.54,1.53,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.14,1.14,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,NA,NA,,,-
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,3.03,Alert,Falling,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,NA,NA,,,-
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,-
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.67,1.66,Normal,,0.0
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,NA,NA,,,-
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,4.46,4.34,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.01,0.99,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,8.43,8.36,Major Flood,Falling,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.12,3.08,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.60,3.59,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.52,2.51,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.78,2.76,Normal,,0.0
