River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.50,2.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.75,1.76,Normal,,39.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.60,9.55,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.79,1.76,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.65,0.63,Normal,,,9.5,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.61,0.61,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.81,0.81,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.19,1.19,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.87,5.83,Normal,,,10.3,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.03,1.98,Normal,,0.8,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.70,2.68,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.60,3.59,Normal,,1.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.86,1.85,Normal,,,10.5,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.60,1.68,Normal,,25.8,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.74,0.74,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.30,3.21,Normal,,1.6,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.92,0.92,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.64,0.64,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.04,1.03,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.28,1.27,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.12,1.11,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.61,1.61,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.34,0.34,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.24,1.23,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.88,0.87,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.15,1.13,Normal,,0.9,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,2.17,2.15,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-0.31,-0.42,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.60,2.69,Normal,,0.2,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.09,1.09,Normal,,0.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.77,0.77,Normal,,2.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,6.05,5.99,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.09,1.08,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,4.23,4.22,Normal,,3.7,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.69,1.69,Normal,,1,,5.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.47,1.47,Normal,,,10.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.50,2.50,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.28,1.28,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.36,1.34,Normal,,0.0,,,
