River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.70,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.62,1.58,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.50,9.51,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.47,1.47,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.63,0.63,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.61,0.58,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.79,0.78,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.94,0.91,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.56,5.50,Normal,,0.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.81,1.77,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.50,2.43,Normal,,0.0
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,3.31,3.18,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.65,1.60,Normal,,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.61,1.60,Normal,,1.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.62,0.60,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.02,3.01,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.87,0.87,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.62,0.62,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.02,1.02,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.23,1.20,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.08,1.07,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.59,1.58,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.33,0.33,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.19,1.19,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.86,0.86,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.07,1.06,Normal,,0.5
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,2.13,2.13,Normal,,2.3
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.08,-1.15,Normal,,10.4
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.30,2.33,Normal,,1.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.05,1.05,Normal,,0.0
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.85,0.84,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,5.76,5.71,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.06,1.06,Normal,,1.5
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,4.18,4.17,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.69,1.69,Normal,,0.5
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.53,1.52,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.48,2.48,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.28,1.27,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.24,1.24,Normal,,0.0
