River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.10,0.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.60,0.58,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.74,8.74,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.55,1.55,Normal,,0.5
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.47,0.49,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.33,0.35,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.56,0.56,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.42,0.31,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.25,4.25,Normal,,0.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.83,0.82,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.88,0.88,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.58,1.52,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.30,1.30,Normal,,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.43,1.45,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.50,0.47,Normal,,3.8
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.74,2.70,Normal,,3.2
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.78,0.75,Normal,,30.9
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.38,0.37,Normal,,2.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.99,0.99,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.21,1.20,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.05,1.05,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.45,1.44,Normal,,0.5
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.20,0.20,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.15,1.15,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.02,1.01,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.09,1.09,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.80,1.77,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.48,-1.49,Normal,,1.3
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.40,1.40,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.81,0.81,Normal,,0.0
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.74,0.73,Normal,,0.1
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.39,2.37,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.80,0.80,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.66,1.66,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.41,1.42,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.78,0.78,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.09,2.09,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.01,1.01,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.77,0.77,Normal,,0.0
