River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.00,0.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.34,0.37,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.46,8.38,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.57,1.48,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.28,0.28,Normal,,0.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.18,0.14,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.40,0.41,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.51,0.35,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,3.84,3.84,Normal,,0.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.52,0.52,Normal,,0.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.75,0.75,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.60,1.56,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.25,1.25,Normal,,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.01,1.00,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.30,0.28,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,1.95,1.95,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.21,0.21,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.02,0.03,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.90,0.90,Normal,,0.8,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.59,0.58,Normal,,2.1,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.93,0.92,Normal,,3.6,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.18,1.18,Normal,,2.2,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.08,-0.08,Normal,,2.7,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.87,0.87,Normal,,8.8,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.56,0.56,Normal,,,15.3,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.34,1.88,Normal,,34.,,4
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.43,1.49,Normal,,52.8,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.32,-2.06,Normal,,29.,,6
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.18,1.20,Normal,,3.9,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.61,0.61,Normal,,1.0,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.58,0.63,Normal,,27.,,7
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.35,1.34,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.64,0.64,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.28,1.27,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.05,0.05,Normal,,0.6,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.12,0.12,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.79,1.79,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.70,0.71,Normal,,2.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.07,0.07,Normal,,0.5,,
