River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 PM",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.10,2.10,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.51,1.51,Normal,,17.4,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.60,10.19,Normal,,43.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.81,1.82,Normal,,35.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.15,1.10,Normal,,11.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.03,1.07,Normal,,41.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.79,0.80,Normal,,10.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.98,0.99,Normal,,35.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.56,5.57,Normal,,28.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.16,2.20,Normal,,31.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.83,1.94,Normal,,20.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.64,3.64,Normal,,33.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.56,1.56,Normal,,36.3,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.84,1.79,Normal,,13.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.43,0.45,Normal,,19.2,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.67,2.67,Normal,,12.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.75,0.74,Normal,,7.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.34,0.34,Normal,,12.5,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.33,1.31,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.20,2.20,Normal,,3.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,2.07,1.99,Normal,,8.9,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.34,2.43,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.43,2.39,Normal,,1.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.40,2.15,Normal,,52.8,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.12,2.75,Normal,,36.3,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.30,0.30,Normal,,7.8,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.17,1.10,Normal,,1.6,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,3.5,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.65,2.60,Normal,,12.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.04,1.07,Normal,,11.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.49,1.28,Normal,,24.3,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.15,2.15,Normal,,2.8,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.64,0.64,Normal,,13.1,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,37.3,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,20.2,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.40,2.45,Normal,,69.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.62,2.62,Normal,,10.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.51,1.52,Normal,,17.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.54,1.60,Normal,,34.0,
