River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.30,2.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.90,2.87,Normal,,15.5,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.94,10.80,Normal,,14.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.57,1.57,Normal,,5.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.93,0.91,Normal,,2.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.83,0.81,Normal,,8.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.86,Normal,,8.4,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.30,2.32,Normal,,15.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.22,8.22,Normal,,6.8,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.62,5.49,Alert,Falling,6.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.11,5.07,Alert,Falling,6.8,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.90,5.90,Alert,,32.,,4
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.23,3.25,Normal,,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.80,2.74,Normal,,2,4.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.16,1.16,Normal,,1.8,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.10,4.92,Normal,,1.7,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.54,1.49,Normal,,1.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.77,0.74,Normal,,2.1,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.92,1.90,Normal,,1.9,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.73,1.73,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.50,1.45,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.74,1.73,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.90,-,,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.14,1.12,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.64,0.63,Normal,,17.5,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.30,0.30,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.01,0.96,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.16,2.08,Normal,,0.7,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.35,1.33,Normal,,3.6,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.67,0.66,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.05,2.05,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.62,0.62,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,13.2,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.70,-,,,56.2,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.26,3.29,Normal,,2.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.25,2.16,Normal,,0.6,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.48,3.48,Alert,,2.5,,
