River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
Level
Rising or
1
Falling","3 Hr RF in
mm at
2.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.50,2.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.76,3.68,Normal,,26.2
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.85,10.84,Normal,,11.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.46,1.49,Normal,,4.7
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.91,0.90,Normal,,0.3
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.10,1.12,Normal,,11.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.90,2.91,Normal,,0.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.38,8.35,Normal,,5.7
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.44,3.42,Normal,,7.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.83,3.86,Normal,,8.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.02,7.01,Minor Flood,Falling,10.7
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.89,2.86,Normal,,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.03,2.03,Normal,,3.4
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.98,0.98,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.41,3.38,Normal,,1.4
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.86,0.89,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.34,0.33,Normal,,3.5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.07,1.07,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.18,1.18,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.17,1.17,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.50,1.50,Normal,,4.5
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.15,0.15,Normal,,0.5
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.96,0.95,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.45,0.45,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.24,0.24,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.42,0.40,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.16,-3.16,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.90,1.85,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.39,1.37,Normal,,0.0
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.50,0.46,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.40,2.32,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.62,0.62,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,4.00,4.00,Normal,,4.2
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.57,3.40,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.03,3.01,Normal,,2.2
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.53,3.50,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.25,2.21,Normal,,9.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.26,4.22,Alert,Falling,0.5
