River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
Midnight",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,4.60,4.60,Alert,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.92,7.86,Alert,Falling,20,.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.20,14.16,Normal,,17,.4,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.87,1.83,Normal,,12.1,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.79,Normal,,5.2,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.63,1.63,Normal,,28.5,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.72,0.71,Normal,,4.1,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.70,2.73,Normal,,24.,,2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.69,9.71,Normal,,39.0,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,7.00,6.91,Alert,Falling,12.5,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.25,4.23,Alert,Falling,11.3,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.36,6.24,Alert,Falling,32.1,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.65,2.65,Normal,,28.5,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.60,2.54,Normal,,19,.7,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.49,0.49,Normal,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.10,3.09,Normal,,0.4,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.10,1.09,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.48,0.47,Normal,,2.6,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.05,1.05,Normal,,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.74,0.73,Normal,,0.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.92,0.92,Normal,,0.0,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.34,1.34,Normal,,0.0,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.10,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.71,0.71,Normal,,0.0,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.45,0.45,Normal,,0.0,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.14,0.14,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-,-,,,0.0,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.68,1.64,Normal,,1.2,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.34,1.31,Normal,,6.6,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.28,0.28,Normal,,0.0,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,-,-,,,0.0,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,0.0,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.98,0.98,Normal,,0.5,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.70,3.67,Normal,,2.7,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.89,1.85,Normal,,1.4,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.17,5.17,Minor Flood,,8.5,,,,
