River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00
AM","Water
Level at
03:00
AM",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
03:00 AM",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,2.00,Normal,,0.0,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.49,4.50,Normal,,12.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.49,12.40,Normal,,40.,,,1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.93,1.92,Normal,,3,,3.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.60,0.59,Normal,,8.5,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.85,1.76,Normal,,71.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.62,0.62,Normal,,1.8,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.45,2.45,Normal,,3.4,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.55,8.56,Normal,,69.3,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.87,4.76,Normal,,,26.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.77,4.77,Alert,,44.,,,2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.55,5.57,Alert,Rising,3,,3.8,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.40,2.44,Normal,,6.5,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.42,3.37,Normal,,41.,,,9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.29,0.29,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.88,2.91,Normal,,12.4,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.80,0.80,Normal,,13.6,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.21,0.23,Normal,,1.8,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.87,0.89,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.64,0.64,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.90,0.90,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.15,-0.15,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.84,0.78,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.40,0.40,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.00,0.05,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.05,1.99,Normal,,0.5,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.76,1.70,Normal,,12.7,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.39,0.38,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.27,1.27,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.46,0.46,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.43,2.42,Normal,,1.9,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.18,1.18,Normal,,10.6,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.32,2.35,Normal,,9.6,,,
