River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 AM","Water
Level at
3:00 AM",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3:00 AM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.20,2.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.84,3.90,Normal,,3.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.08,12.12,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.85,1.84,Normal,,31.1,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.22,1.05,Normal,,10.7,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.15,1.83,Normal,,1,6.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.59,0.59,Normal,,2.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.59,2.59,Normal,,4.9,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.50,8.50,Normal,,9.2,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.20,5.01,Normal,,10.9,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.85,4.78,Alert,Falling,32.3,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.50,6.54,Minor Flood,Rising,25.7,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.11,3.10,Normal,,28.6,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.23,3.14,Normal,,1,4.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.73,0.76,Normal,,2.3,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.10,5.11,Alert,Rising,11.1,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.69,2.51,Normal,,1,8.1,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.18,1.10,Normal,,35.9,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.89,0.89,Normal,,7.3,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.70,0.74,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.11,1.08,Normal,,0.8,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.41,1.56,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.15,-0.15,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.68,0.67,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.39,0.39,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.00,0.01,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.23,2.20,Normal,,2.2,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.05,1.92,Normal,,24.5,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.41,0.38,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.28,1.28,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.38,0.37,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.35,2.36,Normal,,1,5.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.13,1.13,Normal,,6.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.76,1.76,Normal,,0.0,,
