River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.10,0.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.21,2.28,Normal,,,8.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.75,10.80,Normal,,,28.9
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.80,1.80,Normal,,52.7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.56,0.59,Normal,,,25.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.36,1.35,Normal,,48.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.73,0.73,Normal,,,30.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.80,0.81,Normal,,,15.2
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.98,6.03,Normal,,,34.5
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.55,2.53,Normal,,,26.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.89,1.93,Normal,,,33.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.22,3.24,Normal,,,19.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.77,1.80,Normal,,,15.2
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.98,1.95,Normal,,,19.9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.35,0.31,Normal,,,14.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.67,2.72,Normal,,,11.8
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.84,0.82,Normal,,,6.2
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.38,0.36,Normal,,,21.5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.84,0.84,Normal,,0.4,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.50,0.50,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.70,0.70,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.25,1.25,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.17,-0.17,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.64,0.64,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.39,0.39,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.15,0.15,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.00,-0.03,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.24,-3.26,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.83,1.86,Normal,,,17.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.75,1.85,Normal,,48.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.21,0.21,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.30,1.30,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.55,0.55,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.09,1.08,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.17,0.17,Normal,,,6.9
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.30,0.30,Normal,,,9.7
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.14,2.15,Normal,,,21.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.02,1.02,Normal,,,18.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.37,1.38,Normal,,,21.0
