River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00
AM","Water
Level at
03:00
AM",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
03:00 AM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.70,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.86,3.84,Normal,,0.8,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.65,11.62,Normal,,13,.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.87,1.87,Normal,,10.7,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.21,1.19,Normal,,9.8,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.32,1.32,Normal,,22.4,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.94,0.94,Normal,,2.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.72,2.70,Normal,,20.8,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.58,8.55,Normal,,24.6,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.33,4.24,Normal,,7.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.62,3.55,Normal,,15,.3,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.54,6.54,Minor Flood,,26.8,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.09,3.06,Normal,,2.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.31,2.29,Normal,,6.6,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.95,0.95,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.17,4.15,Normal,,2.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.32,1.32,Normal,,-,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.62,0.60,Normal,,8.6,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.05,1.05,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.44,0.43,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.68,0.68,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.28,1.28,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.05,-0.06,Normal,,2.7,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.66,0.65,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.38,0.38,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.07,0.07,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.04,0.05,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.48,2.38,Normal,,5.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.76,1.75,Normal,,7.2,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.23,0.21,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.38,1.38,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,1.2,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.97,0.98,Normal,,3.4,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.28,3.25,Normal,,7.4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.12,2.10,Normal,,2.8,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.23,3.21,Normal,,7.7,,
