River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.40,1.40,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.77,0.76,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.97,8.95,Normal,,0.0
,Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.62,1.32,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.24,0.27,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.45,0.49,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.44,0.44,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.46,0.41,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.11,4.11,Normal,,0.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.66,0.64,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.77,0.77,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.56,1.50,Normal,,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.10,1.11,Normal,,0.0
,Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.03,1.03,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.19,0.20,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.01,2.01,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.27,0.26,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.07,-0.08,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.72,0.72,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.18,0.20,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.53,0.53,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.05,1.05,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.20,-0.21,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.52,0.52,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.34,0.34,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.06,0.06,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.21,-0.21,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.26,-3.19,Normal,,0.0
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.29,1.30,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.96,0.96,Normal,,0.0
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.11,0.11,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.36,1.35,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.43,0.43,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.89,0.88,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.09,0.09,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.09,-0.09,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,1.89,1.89,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,0.83,0.83,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.64,0.63,Normal,,0.0
