River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.40,1.55,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.11,5.18,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.05,13.81,Normal,,3.6,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,5.90,7.50,Major Flood,Rising,109.3,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.85,0.94,Normal,,4.7,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.68,3.30,Normal,,22.5,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,3.30,3.19,Minor Flood,Falling,77.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.12,1.21,Normal,,0.4,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.40,7.50,Normal,,3.2,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.38,6.52,Alert,Rising,4,3.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.28,2.21,Normal,,11.8,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.11,4.15,Normal,,3.2,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.30,2.31,Normal,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.25,2.00,Normal,,15.3,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.70,0.70,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.83,3.80,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.63,1.28,Normal,,5.7,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.38,0.37,Normal,,6.2,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.74,0.73,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.10,0.10,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.50,0.50,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.92,0.92,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.60,0.59,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.21,0.20,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.02,0.02,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.17,-0.17,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.12,-3.11,Normal,,0.3,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,6.58,6.52,Alert,Falling,24.2,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,6.50,7.65,Major Flood,Rising,87.6,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.16,0.15,Normal,,1.6,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.20,1.20,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.02,1.02,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.04,0.04,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.03,-0.03,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.17,2.16,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.30,2.55,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.12,1.12,Normal,,0.0,,,
