River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3:00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.30,3.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.15,7.17,Alert,Rising,4.1,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,16.00,15.81,Minor Flood,Falling,15.7,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.82,2.77,Normal,,125.8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.44,1.40,Normal,,12.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.62,1.67,Normal,,37.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.45,1.45,Normal,,129.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.78,1.80,Normal,,1.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.33,8.35,Normal,,10.8,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,7.71,7.65,Minor Flood,Falling,63,.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.44,3.04,Normal,,23.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.08,5.10,Alert,Rising,4.7,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.43,2.48,Normal,,2.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.22,3.06,Normal,,26.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.82,0.82,Normal,,15.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.82,4.75,Normal,,29.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.08,1.99,Normal,,22.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.85,0.81,Normal,,31.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.29,1.25,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.11,0.11,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.50,0.51,Normal,,1.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.95,0.95,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.22,-0.22,Normal,,1.2,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.57,0.57,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.19,0.19,Normal,,0.6,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.5,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.11,-0.08,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,1.2,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,6.68,6.20,Alert,Falling,43.5,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.85,2.78,Normal,,122.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.19,0.24,Normal,,3.3,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.20,1.20,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.01,-0.01,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.65,4.76,Normal,,2.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.65,3.20,Normal,,4.5,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.57,1.64,Normal,,1.5,
