River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.90,2.30,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,4.50,4.42,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.43,12.41,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.86,2.71,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.80,0.79,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.72,1.71,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.16,1.14,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.11,2.10,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.90,8.88,Normal,,,1.3
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.67,4.58,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.72,1.69,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.27,4.21,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.96,1.90,Normal,,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.79,1.75,Normal,,4.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.61,0.60,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.98,2.93,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.77,0.62,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.20,0.18,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.76,0.74,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.05,0.04,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.51,0.51,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.95,0.95,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.21,-0.21,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.62,0.61,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.17,0.18,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.19,0.18,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.36,-3.37,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,5.30,5.65,Alert,Rising,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.94,2.82,Normal,,0.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.15,0.14,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.34,1.38,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.98,0.98,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.03,0.03,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.02,0.01,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.50,2.49,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.31,1.30,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.04,1.04,Normal,,0.0,
