River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.50,1.60,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,2.24,2.23,Normal,,3.2,,,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,10.70,10.70,Normal,,1.6,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.33,2.35,Normal,,,10.7,,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.48,0.48,Normal,,1.7,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.02,1.08,Normal,,1,,8.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.03,1.03,Normal,,25.9,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.64,0.67,Normal,,,11.1,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.78,5.78,Normal,,1,,5.9,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.36,2.33,Normal,,26.1,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.65,1.64,Normal,,4.9,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.90,2.90,Normal,,29.0,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.33,2.33,Normal,,,11.3,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.15,2.10,Normal,,39.4,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.82,0.82,Normal,,2,,2.4,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.75,4.62,Normal,,30.2,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.02,1.00,Normal,,34.9,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.32,0.30,Normal,,1,,8.4,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.80,0.80,Normal,,1.1,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.52,0.52,Normal,,0.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.80,0.80,Normal,,0.0,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.94,0.94,Normal,,0.0,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.21,-0.21,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.56,0.56,Normal,,0.0,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.0,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.05,0.05,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.11,-0.11,Normal,,0.0,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.23,-3.27,Normal,,0.0,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.70,3.65,Normal,,0.5,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.95,1.93,Normal,,2,,0.4,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.10,0.11,Normal,,0.0,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.70,1.70,Normal,,0.0,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.64,0.64,Normal,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.01,0.01,Normal,,0.0,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.04,0.04,Normal,,0.0,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.09,2.09,Normal,,0.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.02,1.02,Normal,,2.4,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.64,0.65,Normal,,0.2,,,,
