River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 AM","Water
Level at
9:00 AM",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8:30 AM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.30,0.90,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.90,1.88,Normal,,0.7,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,10.03,9.98,Normal,,1.7,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.60,1.58,Normal,,8.7,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.42,0.40,Normal,,0.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.73,0.73,Normal,,7.4,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.75,0.74,Normal,,16.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.33,1.31,Normal,,6.4,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.10,6.04,Normal,,15.9,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.86,1.77,Normal,,24.7,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.82,2.74,Normal,,3.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.22,4.19,Normal,,9.7,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.17,3.15,Normal,,101.7,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.60,1.58,Normal,,12.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.45,0.43,Normal,,3.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.88,2.83,Normal,,2.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.39,0.40,Normal,,3.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.06,-0.06,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.72,0.72,Normal,,6.3,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.88,2.05,Normal,,20.2,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.37,1.37,Normal,,54,,.6
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.10,1.09,Normal,,,39.4,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,2.7,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.57,Normal,,1.2,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.17,Normal,,0.4,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,5.2,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.06,-0.05,Normal,,11.1,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.98,-2.98,Normal,,20.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.75,2.10,Normal,,2.7,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.04,1.04,Normal,,3.0,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.33,0.36,Normal,,1.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.89,1.90,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.53,0.53,Normal,,11.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.07,0.07,Normal,,,34.8,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.15,-0.15,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.02,2.01,Normal,,0.3,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.88,0.88,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.04,1.98,Normal,,0.4,,
