River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.80,1.00,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.24,1.24,Normal,,1,5.5
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,9.56,9.57,Normal,,4.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.71,1.70,Normal,,5.0,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.42,0.41,Normal,,1,0.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.58,0.59,Normal,,1.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.50,0.50,Normal,,1.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.92,0.87,Normal,,1,3.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.94,4.96,Normal,,,8.9
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.44,1.43,Normal,,,8.8
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.04,5.04,Alert,,33.9,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.22,4.24,Normal,,1,4.6
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.52,3.51,Alert,Falling,1,5.4
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.26,2.21,Normal,,1,1.7
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.73,0.70,Normal,,,8.7
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.57,4.55,Normal,,2,2.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.89,0.89,Normal,,1,9.9
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.29,0.29,Normal,,1,0.6
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.75,0.75,Normal,,2.6,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.12,1.11,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.23,1.20,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.07,1.07,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.62,0.61,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.15,0.15,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.24,0.23,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.10,0.12,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.36,2.66,Normal,,0.8,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.00,1.00,Normal,,1.2,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.21,0.21,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.84,1.84,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.24,-0.24,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.88,1.87,Normal,,0.8,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.87,0.88,Normal,,,8.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.15,2.12,Normal,,1,8.1
