River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00
AM","Water
Level at
03:00
AM",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
03:00 AM",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.40,3.40,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,6.85,6.85,Alert,,7.4,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,15.36,15.23,Alert,Falling,28.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.50,2.45,Normal,,91.1,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.74,1.64,Normal,,64.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,2.14,2.09,Normal,,77.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.45,1.36,Normal,,67.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.34,2.37,Normal,,7.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.68,8.68,Normal,,48.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.35,6.28,Alert,Falling,47.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.66,5.68,Alert,Rising,74.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.11,6.14,Alert,Rising,20.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.77,3.79,Alert,Rising,17.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,5.33,5.20,Alert,Falling,41.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.42,1.42,Alert,,21.8,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.10,6.08,Minor Flood,Falling,38.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.33,2.18,Normal,,26.7,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.32,1.28,Normal,,31.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.15,1.12,Normal,,11.6,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.09,1.09,Normal,,3.3,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.87,0.85,Normal,,1.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.09,1.09,Normal,,2.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.5,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.5,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.23,-0.22,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.8,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.79,4.50,Normal,,49.8,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.40,2.31,Normal,,93.6,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.37,0.34,Normal,,15.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.74,1.74,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,3.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,31.7,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,60.1,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.23,-0.23,Normal,,1.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.20,4.17,Normal,,18.1,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.21,3.10,Normal,,79.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.45,3.45,Alert,,31.7,
