River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 AM","Water
Level at
9:00 AM",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8:30 AM",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.45,2.55,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,4.60,4.54,Normal,,28.,5
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.27,12.31,Normal,,32.,2
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.05,2.05,Normal,,46.4,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,2.45,2.43,Normal,,43.1,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.39,1.42,Normal,,41.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.98,Normal,,24.,3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.93,2.94,Normal,,17.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.99,8.99,Normal,,11.9,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.64,4.60,Normal,,6.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.77,4.77,Alert,,49.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.20,7.20,Minor Flood,,15.4,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.18,4.18,Minor Flood,,4.7,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.67,2.70,Normal,,31.,3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.50,1.50,Alert,,26.,7
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.03,5.01,Alert,Falling,8.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.28,1.26,Normal,,17.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.59,0.59,Normal,,15.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.90,0.88,Normal,,7.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.15,1.15,Normal,,7.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.01,1.09,Normal,,0.5,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.06,1.05,Normal,,3.4,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,8.1,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.56,0.56,Normal,,0.7,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.17,0.17,Normal,,0.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.8,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.17,-0.17,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.95,-2.96,Normal,,0.9,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.00,3.15,Normal,,41.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.15,2.30,Normal,,47.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.21,0.19,Normal,,0.7,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.69,1.69,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.49,0.48,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.25,0.22,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.38,0.38,Normal,,0.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.23,3.19,Normal,,10.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.94,1.90,Normal,,4.5,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.40,2.44,Normal,,32.,8
