River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00
PM","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
Midnight",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.90,1.90,Normal,,-,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,4.51,4.55,Normal,,32,,.6,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.70,12.77,Normal,,,22.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.25,2.40,Normal,,44.2,,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.41,1.45,Normal,,14.9,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.97,2.00,Normal,,65.7,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.89,0.88,Normal,,8.1,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.95,2.95,Normal,,0.3,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.50,8.44,Normal,,8.4,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.92,3.87,Normal,,14.8,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.44,4.42,Alert,Falling,6.4,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.15,7.14,Minor Flood,Falling,0.3,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.07,4.04,Minor Flood,Falling,1.4,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.67,2.66,Normal,,0.5,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.52,Alert,,,22.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.68,4.66,Normal,,1.5,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.20,1.18,Normal,,7.4,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.95,0.95,Normal,,9.5,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.93,0.95,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.12,1.12,Normal,,1.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.89,0.89,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.03,1.04,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.15,0.15,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.06,0.06,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.15,-0.16,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.76,3.78,Normal,,11.2,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.36,2.40,Normal,,42.4,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.19,0.18,Normal,,0.3,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.68,1.68,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,1.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.38,0.38,Normal,,2.3,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.05,3.07,Normal,,0.3,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.86,1.80,Normal,,1.3,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.72,0.72,Normal,,7.2,,,
