River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12:00 noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.75,2.85,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,4.82,4.82,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.82,12.78,Normal,,2.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.14,2.15,Normal,,6.5,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.16,1.15,Normal,,2.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.66,1.62,Normal,,5.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.86,0.85,Normal,,3.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.88,2.87,Normal,,2.1,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.09,8.06,Normal,,0.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.84,3.80,Normal,,0.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.04,4.04,Alert,,1.7,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.00,6.98,Minor Flood,Falling,3.6,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.79,3.76,Alert,Falling,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.39,2.38,Normal,,13.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.34,1.34,Normal,,2.3,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.38,4.37,Normal,,4.5,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.10,1.12,Normal,,10,.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.58,0.62,Normal,,20.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.82,0.81,Normal,,1.1,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.10,1.10,Normal,,4.6,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.90,0.90,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.03,1.03,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,4.5,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.54,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.14,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.06,0.06,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.20,-0.21,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.99,-3.01,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.00,2.90,Normal,,2.1,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.30,2.36,Normal,,4.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.20,0.20,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.67,1.67,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.43,0.42,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.08,0.08,Normal,,0.7,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.37,0.37,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.69,2.68,Normal,,0.4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.51,1.49,Normal,,1.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.60,2.60,Normal,,0.0,,
