River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 PM","Water
Level at
9:00 PM",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9:00 PM",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.30,2.40,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,5.58,5.67,Normal,,13.3,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,14.00,14.21,Normal,,20.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,3.53,3.30,Alert,Falling,29.0,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,2.62,2.39,Normal,,11.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,4.33,3.73,Normal,,57.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.51,1.55,Alert,Rising,40.4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.67,2.67,Normal,,28.6,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.28,8.35,Normal,,34.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.03,6.17,Alert,Rising,20.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.04,5.05,Alert,Rising,16.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.76,6.79,Minor Flood,Rising,23.6,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.50,4.52,Minor Flood,Rising,5.4,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,5.14,5.12,Alert,Falling,25.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.72,1.72,Minor Flood,,6.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.75,6.74,Minor Flood,Falling,14.8,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.31,3.20,Normal,,17.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.78,1.72,Normal,,16.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.42,1.40,Normal,,2.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.10,1.10,Normal,,0.9,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.96,0.98,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.01,1.01,Normal,,2.9,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.25,-0.25,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.54,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.15,0.15,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.05,0.04,Normal,,0.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.28,-0.29,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.5,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.48,4.47,Normal,,19.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.70,3.40,Normal,,37.1,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.18,0.18,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.64,1.64,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,5.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.40,0.40,Normal,,11.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.05,3.08,Normal,,15.6,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.28,2.35,Normal,,15.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.14,3.16,Normal,,19.1,
