River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00
PM","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
Midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.80,3.10,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,5.81,5.96,Normal,,14.0,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,14.55,14.68,Normal,,21.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.99,2.94,Normal,,31.5,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.96,1.78,Normal,,13.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,3.14,2.75,Normal,,59.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.54,1.55,Alert,Rising,46.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.68,2.68,Normal,,29.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.41,8.46,Normal,,50.9,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.42,6.45,Alert,Rising,25.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.06,5.05,Alert,Falling,21.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.80,6.80,Minor Flood,,27.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.55,4.56,Minor Flood,Rising,8.7,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,4.96,4.78,Alert,Falling,33.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.74,1.74,Minor Flood,,6.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.69,6.65,Minor Flood,Falling,16.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.00,2.87,Normal,,19.1,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.64,1.59,Normal,,23.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.36,1.36,Normal,,2.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.10,1.11,Normal,,0.9,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.00,1.01,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.01,1.01,Normal,,2.9,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.25,-0.25,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.54,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.15,0.15,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.04,0.04,Normal,,0.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.29,-0.29,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.5,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.53,4.62,Normal,,19.3,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.27,3.17,Normal,,45.5,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.19,0.14,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.64,1.64,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,5.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.40,0.40,Normal,,11.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.22,3.29,Normal,,16.1,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.35,2.33,Normal,,17.4,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.22,3.24,Normal,,20.9,
