River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 AM","Water
Level at
3:00 AM",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3:00 AM",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.40,3.50,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,6.11,6.20,Normal,,15.0,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,14.77,14.74,Normal,,26.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.85,2.86,Normal,,46.1,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.60,1.62,Normal,,13.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,2.39,2.32,Normal,,69.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.69,1.72,Alert,Rising,66.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.69,2.70,Normal,,29.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.50,8.55,Normal,,50.9,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.43,6.43,Alert,,29.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.00,4.98,Alert,Falling,27.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.82,6.82,Minor Flood,,29.5,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.60,4.61,Minor Flood,Rising,8.7,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,4.31,4.30,Alert,Falling,59.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.76,1.79,Minor Flood,Rising,6.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.63,6.61,Minor Flood,Falling,17.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.77,2.68,Normal,,19.1,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.48,1.45,Normal,,28.5,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.33,1.30,Normal,,2.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.11,1.11,Normal,,0.9,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.00,1.00,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.01,1.01,Normal,,2.9,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.25,-0.25,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.54,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.15,0.15,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.03,0.03,Normal,,0.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.30,-0.32,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.5,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.86,4.81,Normal,,26.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.93,2.95,Normal,,62.5,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.18,0.18,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.64,1.64,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,5.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.41,0.41,Normal,,11.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.36,3.35,Normal,,16.1,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.35,2.42,Normal,,18.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.24,3.22,Normal,,21.2,
