River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00
PM","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
Midnight",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.70,3.00,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,5.85,5.86,Normal,,19,,.1,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,13.86,13.90,Normal,,23.4,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,3.00,2.90,Normal,,18,,.8,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.26,1.25,Normal,,9.3,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,2.28,2.10,Normal,,25.6,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.30,1.28,Normal,,7.9,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.83,2.84,Normal,,3.7,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.95,8.96,Normal,,7.5,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.78,5.73,Alert,Falling,1.7,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.75,4.72,Alert,Falling,7.5,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.08,7.08,Minor Flood,,4.0,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.76,4.77,Minor Flood,Rising,1.3,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.45,3.40,Normal,,6.9,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.93,1.93,Minor Flood,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.25,6.23,Minor Flood,Falling,4.7,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.33,2.30,Normal,,5.5,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.13,1.09,Normal,,24.9,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.15,1.16,Normal,,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.14,1.14,Normal,,0.7,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.04,1.05,Normal,,0.0,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.00,1.00,Normal,,0.0,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.25,-0.25,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.53,0.53,Normal,,0.0,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.13,0.13,Normal,,0.0,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.03,0.03,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.07,-0.03,Normal,,0.0,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.28,4.30,Normal,,3.7,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.56,2.53,Normal,,34.2,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.16,0.15,Normal,,0.0,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.64,1.64,Normal,,0.0,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.5,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.39,0.39,Normal,,4.3,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.09,3.09,Normal,,30.9,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.90,1.88,Normal,,,12.5,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.64,2.62,Normal,,6.9,,,,
