River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9:00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.50,2.50,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,5.23,5.19,Normal,,4.3,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.90,12.81,Normal,,8.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.67,2.65,Normal,,19.1,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.10,1.03,Normal,,7.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.68,1.64,Normal,,11.,2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.07,1.07,Normal,,3.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.92,2.91,Normal,,5.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.86,8.86,Normal,,6.6,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.75,4.69,Normal,,7.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.54,3.51,Normal,,5.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.88,6.86,Minor Flood,Falling,12.,2
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.82,4.81,Minor Flood,Falling,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.95,3.10,Normal,,6.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.95,1.95,Minor Flood,,1.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.82,5.80,Alert,Falling,3.1,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.63,1.65,Normal,,4.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.06,1.04,Normal,,2.5,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.94,0.96,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.12,1.12,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.98,1.03,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.97,0.97,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.28,-0.28,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.52,0.52,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.13,0.13,Normal,,0.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.05,0.05,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.00,0.02,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.99,3.30,Normal,,0.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.12,2.13,Normal,,4.6,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.07,0.13,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.64,1.64,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.38,0.38,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.89,2.89,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.64,1.63,Normal,,0.6,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.58,2.58,Normal,,2.7,
