,,,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්ූවන් පිළිබඳ විස්ත්‍රතර / Details of those affected
/பாதிக்கப்படட் வரக் ளின் விவரங்கள்",,,,,,,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්ූ
පුද්ගලයි
න්
fhzhk
y;NghNd
hH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses Damaged",,,"ලවනත්ත කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,,,,,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ඥාති ස්ත්‍හලවනත්ත නිවාස්ත්‍
වල සිටින / In
relatives' homes",,"බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,,,,,,,
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;if
No. of
Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","සුළු හානි/
Minor
damage",
,1,"කෑගල්ල
Nffhiy Kegalle",Aranayake,"Cutting Failure/
High wind",2020.05.19,,,,,,4,17,,,,,2,2,
,,,Mawanella,,,,,,,,9,37,,,,,4,2,
,,,Kegalle,,,,,,,,10,41,,1,,1,9,,
,,,Ruwanwella,,,,,,1,2,3,12,,,,,2,1,
,,,Bulathkohupitiya,,,,,,,,7,28,,,,,7,,
,,,Yatiyanthota,,2020.05.20,,,,,,3,13,,,,,2,1,
,,,Mawanella,,,,,,,,3,10,,,,,2,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,1,2,39,158,0,1,0,1,28,6,
"සබරගමුෙ පලාත
rg;ufKt
Sabaragamuwa",2,"රත්නපුර ,uj;jpdGhp
Rathnapura",Palmadulla,"Flood and
Landslide",2020.05.19,2,6,26,,,1203,4397,1,,,12,998,,
,,,Opanayaka,,,1,5,18,,,312,1143,,,,2,6,,
,,,Eheliyagoda,,,,,,,,3,12,,,,,3,,
,,,Ayagama,,,,,,,,290,762,,,,1,49,,
,,,Embilipitiya,,,,,,115,395,7,25,,,,,7,,
,,,Rathnapura,,,2,6,25,,,1659,6742,2,,,,130,,
,,,Kahawattha,,,,,,,,41,174,,,,,4,,
,,,Kiriella,,,,,,,,147,649,,,,,6,,
,,,Kalawana,,,,,,,,23,77,,,,,19,,
,,,Elapatha,,,,,,147,504,258,920,,,,1,40,,
,,,Nivithigala,,,,,,,,85,277,,,,,14,,
,,,Ibulpe,,,,,,,,32,120,,,,,31,,
,,,Balangoda,,,2,17,73,,,252,892,,,,1,93,,
,,,Kolonna,,,,,,1,4,23,81,,,,1,22,,
,,,Weligapola,,,,,,48,171,57,210,,,,1,8,,
,,,Kuruvita,,,,,,10,36,84,321,,,,,15,,
,,,Godakawala,,,,,,,,19,61,,,,,19,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,7,34,142,321,1110,4495,16863,3,0,0,19,1464,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,7,34,142,322,1112,4534,17021,3,1,0,20,1492,6,
"Western
Nky; khfhzk;
බස්නාහිර පලාත",3,"ගම්පහ
fk;g`h Gampaha",Minuwangoda,High wind,2020.05.19,,,,,,1,4,,,,,1,,
,,,Gampaha,,,,,,,,1,3,,,,,1,,
,,,Mahara,,2020.05.20,,,,,,,,,,,,1,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,2,7,0,0,0,0,3,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,2,7,0,0,0,0,3,0,
,4,"මහනුෙර
fz;b Kandy",Udunuwara,Heavy Rain,2020.05.19,,,,,,1,5,,,,,1,,
,,,Delthota,,,,,,,,1,4,,,,,1,,
,,,Madadumbara,,,,,,,,1,3,,,,,1,,
,,,Udapalatha,,,,,,,,1,6,,,,,1,,
,,,Pasbage Korale,"High Wind/
Cutting Failure",,,,,99,443,99,443,,,,,,,
,,,Gangawata Korale,,,,,,,,1,2,,,,,1,,
,,,Haripatthuwa,,2020.05.20,,,,,,2,8,,,,,2,,
,,,Pasbagekorale,,,,,,5,23,8,35,,,,,3,,
,,,Gangawatakorale,,,,,,,,1,3,,,,,1,,
,,,Ududumbara,,,,,,,,8,31,,,,,5,,
,,,Gangaihala korale,,,,,,,,2,7,,,,,2,,
,,,Udapalatha,,,,,,,,2,9,,,,,2,,
මධ්‍යම පලාත,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,104,466,127,556,0,0,0,0,20,0,
