"දකුනු පලාත
njd; khfhzk;
Southern",14,"ගාල්ල
fhyp Galle",Neluwa,Flood,2020.05.19,,,,,,21,83,1,2,,,21,,
,,,Thawalama,,,,,,,,27,98,,,,,27,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,48,181,1,2,0,0,48,0,
,15,"හම්බනවතාට
`k;ghe;Njhl;il
Hambantota",Walasmulla,"Heavy Rain/ High
Wind",2020.05.19,,,,,,21,74,,,,,21,,
,,,Beliattaha,,,,,,,,10,31,,,,,10,,
,,,Thangalle,,,,,,,,12,46,,,,,12,,
,,,Okewala,,,,,,,,9,41,,,,,9,,
,,,Weeraketiya,,,,,,,,10,35,,,,,10,,
,,,Adunukolapalassa,,,,,,,,9,25,,,,,9,,
,,,Thissamaharamaya,,,,,,,,3,14,,,,,3,,
,,,Ambalanthota,,,,,,,,3,9,,,,,2,,
,,,Katuwana,,,,,,,,17,73,,,,,17,,
,,,Hambanotota,Drowing,2020.05.23,,,,,,,3,,2,1,,,,"one fishermen missing and two
were injuried due to collapsing of a
fishing boat because of rough sea"
,,,,High Wind,2020.05.23,,,,,,1,2,,,,,1,,
,,,Lunugamwehera,Lightning,2020.05.24,,,,,,1,4,,,,,1,,
,,,Thissamaharamaya,High Wind,2020.05.25,,,,,,2,7,,,,,2,,
,,,Beliattaha,,2020.05.21,,,,,,3,10,,,,,3,,
,,,Walasmulla,,2020.05.21,,,,,,1,4,,,,,1,,
,,,,,2020.05.20,,,,,,1,3,,,,,1,,
,,,,,2020.05.23,,,,,,2,6,,,,,2,,
,,,Suriyawewa,,2020.05.22,,,,,,1,4,,,,,1,,
,,,Katuwana,,2020.05.20,,,,,,8,28,,,,,8,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,114,419,0,2,1,0,113,0,
,16,"මාතර khj;jiw
Matara",Hakmana,"Heavy Rain/ High
Wind",2020.05.19,,,,,,10,40,,,,,10,,
,,,Kotapola,,,,,,,,145,605,,1,,,145,,
,,,Pitabeddara,,,,,,,,13,48,,,,,13,,
,,,Pasgoda,,,,,,,,26,100,,,,1,25,,
,,,Dikwella,,,,,,,,2,7,,,,,2,,
,,,Devinuwara,,,,,,,,3,11,,,,,3,,
,,,Malimbada,,,,,,,,1,5,,,,,1,,
,,,Mathara,,,,,,,,9,34,,,,,9,,
,,,Welipitiya,,,,,,,,8,38,,,,,8,,
,,,Kirinda,,,,,,,,6,25,,,,,6,,
,,,Kamburupitiya,,,,,,,,4,17,,,,,4,,
,,,Akuressa,,2020.05.20,,,,,,3,12,,,,,3,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,230,942,0,1,0,1,229,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,392,1542,1,5,1,1,390,0,
"උතුරුමැද පලාත
tlkj;jpa
khfhzk;
North Central",17,"වපාවලානනරුෙ
nghyd;dWit
Polonnaruwa",Thamankaduwa,High wind,2020.05.19-22,,,,,,7,24,,,,,7,,
,,,Higurakgoda,,2020.05.23,,,,,,4,13,,,,,3,,
,,,Thamankaduwa,,2020.05.24,,,,,,1,3,,,,,1,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,12,40,0,0,0,0,11,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,12,40,0,0,0,0,11,0,
"නැවගනහිර පලාත
fpof;F Eastern",18,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Town & Gravets,High wind,2020.05.19-23,,,,,,3,9,,,,,3,,
,,,Seruwila,,,,,,,,3,13,,,,,3,,
,,,Kantale,,,,,,,,2,7,,,,,2,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,8,29,0,0,0,0,8,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,8,29,0,0,0,0,8,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,5,27,115,206,856,7018,26395,5,15,1,35,3384,21,
