,9,"මකාළඹ
nfhOk;G
Colombo",Colombo,"Heavy rain and High
Wind",2020.09.07,9,34,Page 3,2,,,9,,,,,,Situati
,,,,,2020.09.09,1091,3103,,,,,3,,,,,,
,,,Rathmalana,,,14,49,,,,,14,,,,,,
,,,,,2020.09.09,3,13,,,,,3,,,,,,
,,,Kolonnawa,,,2,9,,,,,2,,,,,,
,,,,,2020.09.09,3,13,,,,,3,,,,,,
,,,Kotte,,,3,14,,,,,3,,,,,,
,,,Moratuwa,,,68,248,,,,2,66,,,,,,
,,,,,2020.09.09,47,138,,,,,25,,,,,,
,,,Padukka,,2020.09.09,1,5,,,,,1,,,,,,
,,,Maharagama,,,7,24,,,,,7,,,,,,
,,,,,,15,52,,,,,15,2,,,,,
,,,Dehiwala,,,8,30,,,,,8,,,,,,
,,,,,,3,10,,,,,3,,,,,,
,,,Homagama,,,,,,,,,,,,,,,
,,,Thimbirigasyaya,,,7,26,,,,,7,,,,,,
,,,,,2020.09.09,213,678,,1,,,2,,,,,,
,,,Kesbewa,,,2,8,,,,,2,,,,,,
,,,Seethawaka,,,15,60,,,,,15,,,,,,
,,,Kaduwela,,,3,11,1,2,,1,2,,,,,,
,,,,,2020.09.09,14,44,,,,,14,,,,,,
,,,Kottawa,,2020.09.09,427,1640,,,,,25,,,1,42,175,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1955,6209,1,5,0,3,229,2,0,1,42,175,
"Western
Nky; khfhzk;
බස්ත්‍රනාහිර පලාත",10,"ගම්පහ
fk;g`h
Gampaha",Kelaniya,Flood,2020.09.06,473,1904,,,,,7,,,,,,
,,,,,2020.09.09,2977,12408,,,,,,,,,,,
,,,Attanagalla,"Flood, Heavy Rain,Tree
Fallen","2020.09.07,08",25,103,,,,,5,,,,,,
,,,,Flood,2020.09.07,20,79,,,,,,,,,,,
,,,Mahara,Heavy rain & Wind,2020.09.06,11,45,,,,,10,,,,,,
,,,,,"2020.09.08
2020.09.08",105,509,1,,,,2,,,,,,
,,,Minuwangoda,High wind,,1,3,,,,,1,,,,,,
,,,,,2020.09.06,11,39,,,,,11,,,,,,
,,,Dompe,Cutting failure,,1,5,,,,,1,,,1,1,5,
,,,,Heavy rain,,2,8,,,,,2,,,,,,
,,,,Tree Fallen,,1,7,,,,,1,,,,,,
,,,Ja-Ela,High wind,,4,160,,,,,4,1,,,,,
,,,,Flood,2020.09.09,203,755,,,,,4,3,,,,,
,,,,Cutting failure,,1,3,,,,,1,,,,,,
,,,Biyagama,Tree Fallen,"2020.09.06
2020.09.09",5,18,,,,,5,,,,,,
,,,Negombo,Flood,,653,2892,,,,,,,,,,,
,,,,Heavy rain & Wind,2020.09.06,6,21,,,,,6,,,,,,
,,,Mirigama,,"2020.09.06
2020.09.08",10,34,,1,,,10,,,,,,
,,,,,,2,5,,,,,2,,,,,,
,,,Divulapitiya,Wind,2020.09.07,6,23,,,,,6,,,,,,
,,,Wattala,High wind,,20,76,,,,,20,,,,,,
,,,,Flood,2020.09.08,4596,18491,,,,,1,,,,,,
,,,Katana,Heavy rain & Wind,2020.09.07,3,11,,,,,3,,,,,,
,,,,,2020.09.09,423,1542,,,,,9,1,,,,,
,,,,,2020.09.09,10,37,,,,,9,,,,,,
,,,Gampaha,Rain & Wind,2020.09.06,5,19,,,,,5,,,,,,
,,,,Flood,2020.09.08/09,69,306,,,,,,,,,,,
,,,,High wind,2020.09.09,3,11,,,,,3,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,9646,39514,1,1,0,0,128,5,0,1,1,5,
,11,"කළුතර
fSj;Jiw
Kalutara",Palindanuwara,Rock Fallen,2020.09.06,16,49,,,,,,,,1,16,44,Gangarama Temple
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,16,49,0,0,0,0,0,0,0,1,16,44,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,11617,45772,2,6,0,3,357,7,0,3,59,224,
