"නැකගනහිර පලාත
fpof;F",9,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Seruwila,High wind,2020.09.08,3,9,Page 2,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Eastern,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,3,9,0,3,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,3,9,0,3,0,0,0,0,0,0,0,0,
"වයඹ පලාත
tlNky; khfhzk;",10,"පුත්තලම
Gj;jsk;
Puttalam",Kalpitiya,Fire,2020.09.16,1,5,,,,,1,,,,,,
North Western,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
"දකුනු පලාත
njd; khfhzk;",11,"හම්බනකතාට
`k;ghe;Njhl;il
Hambantota",Walassmulla,High Wind,2020.09.17,1,5,,,,,1,,,,,,
Southern,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,879,3223,1,13,0,41,192,2,0,6,126,475,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :
ආ ප ද ා ක ළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
කවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
……………………………………………………….,,,,,,,,,,,,,,,,,,
