"2 0 2 2 - 0 1 - 1 9
பிரதானநகரங்களுக்கான வானிலை முன்னறிவித்தல் திகதி :",,,,,
நகரம்,"0C)
வவப்பநிலை (",,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலறந்த,உச்ச,குலறந்த,
அனுராதபுரம்,32,22,90,65,பிரதானமாக சீரானவானிலை
மட்டக்களப்பு,30,22,90,75,பிரதானமாக சீரானவானிலை
வகாழும்பு,33,23,85,50,பிரதானமாக சீரானவானிலை
காைி,30,24,90,70,"4.00
பி.ப. மணிக்குப்பின்னர் மலை அல்ைது இடியுடன்
கூடிய மலை பபய்யும் சாத்தியம்"
யாழ்ப்பாணம்,30,21,95,65,பிரதானமாக சீரானவானிலை
கண்டி,31,18,95,50,"2.00
பி.ப. மணிக்குப்பின்னர் மலை அல்ைது இடியுடன்
கூடிய மலை பபய்யும் சாத்தியம்"
நுவவரைியா,20,9,95,65,"2.00
பி.ப. மணிக்குப்பின்னர் மலை அல்ைது இடியுடன்
கூடிய மலை பபய்யும் சாத்தியம்"
இரத்தினபுரி,34,22,95,55,"2.00
பி.ப. மணிக்குப்பின்னர் மலை அல்ைது இடியுடன்
கூடிய மலை பபய்யும்சாத்தியம்"
திருககாணமலை,30,23,95,70,பிரதானமாக சீரானவானிலை
மன்னார்,31,24,90,65,பிரதானமாக சீரானவானிலை
