"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :08th September 2023 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"දකුනු පලාත
njd; khfhzk;
Southern",,"ගාල්ල
fhyp
Galle",,,2023.09.01,1,4,,,,,1,,,,,,
,,,Elpitiya,Tree Fallen,2023.09.03,1,2,,,,,1,,,,,,
,,,Nagoda,Tree Fallen,2023.09.02,1,2,,,,,1,,,,,,
,,,Imaduwa,Tree Fallen,2023.09.03,1,5,,,,,1,,,,,,
,1,,Akmeemana,Tree Fallen,2023.09.03,1,3,,,,,1,,,,,,
,,,Madampagama,Wind,2023.09.03,1,1,,,,,1,,,,,,
,,,Habaraduwa,High Wind,2023.09.01,2,8,,,,,2,,,,,,
,,,Bopepoddala,Rock Fallen,2023.09.06,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,9,29,0,0,0,0,9,0,0,0,0,0,
,,,Pitabeddara,,,5,18,,,,1,4,,,,,,
,,මාතර,Kaburupitiya,,,3,9,,,,,3,,,,,,
,2,khj;jiw,Welipitiya,Heavy Rain & High,2023.09.04,4,11,,,,,4,,,,,,
,,Matara,Mulatiyana,Wind,,1,4,,,,,1,,,,,,
,,,Aturaliya,,,1,5,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,14,47,0,0,0,1,13,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,23,76,0,0,0,1,22,0,0,0,0,0,
,,,Horana,High wind,2023.09.02/03/06,9,37,,,,,9,,,,,,
,,,Bandaragama,High wind,2023.09.02/03/06,9,33,,1,,,9,,,,,,
,,,Mathugama,High wind / Lightning,2023.09.02/05,10,35,,,,,5,1,,,,,
,,,Kalutara,High wind,2023.09.03/06,19,66,,,,,19,,,,,,
,,,Beruwala,High wind,2023.09.03/06,9,33,,,,,9,,,,,,
,,,Madurawala,Heavy Rain,2023.09.03/04,7,20,,,,,7,2,,,,,
,3,කළුතර fSj;Jiw,Palindanuwara,High wind,2023.09.03,1,5,,,,,1,,,,,,
,,Kalutara,Panadura,Heavy Rain,2023.09.04,6,17,,,,,5,,,,,,
,,,Dodangoda,Heavy Rain,2023.09.04/06,11,37,,,,,11,,,,,,
,,,Walallavita,High wind / Heavy rain,2023.09.03/04/05,9,30,,,,,9,,,,,,
,,,Ingiriya,,,1,4,,,,,1,,,,,,
,,,Bulathsighala,High wind,2023.09.06,4,13,,,,,4,,,,,,
,,,Agalawatta,,,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,96,334,0,1,0,0,90,3,0,0,0,0,
,,,Moratuwa,,,9,37,,,,,7,1,,,,,
,,,Ratmalana,,2023.09.03,1,4,,,,,1,,,,,,
,,,Homagama,,2023.09.04,4,17,,,,,3,,,,,,
,,,Padukka,,2023.09.04,3,13,,,,,3,,,,,,
,,කකාළඹ nfhOk;G,,Heavy Rain & High,2023.09.04,2,6,,,,,2,,,,,,
,4,Colombo,Kesbewa,Wind,,10,47,,,,,10,1,,,,,
,,,Kolonnawa,,2023.09.03,1173,4185,,,,,,,,,,,
,,,Dehiwala,,2023.09.01/03,3,10,,,,,3,,,,,,
,,,Kaduwela,,,2,9,,,,,2,,,,,,
,,,Seetawaka,,2023.09.03,1,6,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1208,4334,0,0,0,0,32,2,0,0,0,0,
