"Western
Nky; khfhzk;
බසරනාහිර පලාත",2,"කළුතර
fSj;Jiw
Kalutara",Bandaragama,Flood/ Highwind,2023.09.27-29,8,35,,,,,8,,,,,,
,,,Beruwala,High Wind,2023.09.29,4,15,,,,,4,,,,,,
,,,Bulathsinhala,"Flood/
Highwind/Cutting
Failture",2023.09.27-30,20,69,,,,,20,,,,,,
,,,Mathugama,High Wind,2023.09.28-30,7,22,,,,,7,,,,,,
,,,Millaniya,Flood,2023.09.29-30,102,395,,,,,102,,,,,,
,,,Agalawattha,High Wind,2023.09.29,5,19,,,,,5,,,,,,
,,,Horana,High Wind,2023.09.29,2,10,,,,,2,,,,,,
,,,Walallavita,High Wind,2023.09.29,1,4,,,,,1,,,,,,
,,,Ingiriya,Flood,2023.09.29-30,5,13,,,,,5,,,,,,
,,,Kalutara,High Wind,2023.09.29-30,106,403,,,,,8,,,,,,
,,,Dodangoda,Flood,2023.09.30,3,12,,,,,3,,,,,,
,,,Madurawela,Flood,2023.09.30,9,37,,,,,9,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,272,1034,0,0,0,0,174,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,272,1034,0,0,0,0,174,0,0,0,0,0,
"දකුනු පලාත
njd; khfhzk;
Southern",3,"මාතර
khj;jiw
Matara",Akuressa,Flood,2023.09.28,166,686,,,,,5,,,,,,
,,,Thihagoda,,,120,443,,,,,32,,,,,,
,,,Malimbada,,,34,235,,,,,3,,,,,,
,,,Devinuwara,,,13,48,,,,,2,,,,,,
,,,Weligama,,,56,252,,,,,4,,,,,,
,,,Kamburupitiya,,,172,705,,,,,4,,,,,,
,,,Athuraliya,,,143,472,,,,,4,,,,,,
,,,Kirinda,,,3,13,,,,,3,,,,,,
,,,Pasgoda,,,7,25,,,,,7,,,,,,
,,,Hakmana,,,3,8,,,,,3,,,,,,
,,,Matara,,,66,269,,,,,9,,,,,,
,,,Pitabeddara,,,5,21,,,,,5,,,,,,
,,,Mulatiyana,,,5,20,,,,,5,,,,,,
,,,Kotapola,,,6,34,,,,,4,,,,,,
,,,Dickwella,,,3,9,,,,,3,,,,,,
,,,Welipitiya,,,2,7,,,,,2,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,804,3247,0,0,0,0,95,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,804,3247,0,0,0,0,95,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,1275,5051,0,0,0,0,316,4,0,0,0,0,
,,,"ආ ප ද ා කළමනාකරණ මධ්‍යසරථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,ෆැක්සර/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"වවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,,,
