"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :12th October 2023 at 0600hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"සබරගමුව පලාත
rg;ufKt
Sabaragamuwa",1,,Rathnapura,,"2023.09.27 to
2023.10.08",71,281,,,,,26,,,,,,
,,,Ayagama,,,23,72,,1,,,9,,,,,,
,,,Kolonna,,,8,26,,,,,8,,,,,,
,,,Godakawela,,,17,71,,,,1,13,,,,,,
,,,Nivithigala,,,10,28,,,,,10,,,,,,
,,,Kahawatta,,,11,39,,,,,11,,,,,,
,,,Eheliyagoda,,,6,25,,,,,6,,,,,,
,,රත්නපුර,Elapatha,Tree Fallen/Cutting,,82,306,,,,,10,,,,,,
,,uj;jpdGhp,Kuruvita,Failure Risk/Heavy,,41,162,,,,,13,,,,,,
,,Rathnapura,Kalawana,Rain/Flood,,12,40,,,,,6,,,,,,
,,,Pelmadulla,,,15,61,,,,1,14,,,,,,
,,,Opanayake,,,7,22,,,,,4,,,,,,
,,,Kiriella,,,26,98,,,,1,5,,,,,,
,,,Weligepola,,,2,10,,,,,1,,,,,,
,,,Balangoda,,,2,7,,,,,2,,,,,,
,,,Embilipitiya,,,1,3,,,,,1,,,,,,
,,,Imbulpe,,,1,2,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,335,1253,0,1,0,3,140,0,0,0,0,0,
,,,,,2023.10.04,1,2,,,,,1,,,,,,
,,,,Tree fallen,2023.10.05,2,12,,,,,2,,,,,,
,,,Yatiyanthota,high wind,2023.10.08,1,3,,,,,1,,,,,,
,,,,Lightning,2023.10.10,1,4,,,,,1,,,,,,
,,,,Cutting Failure,2023.10.08,1,5,,,,,1,,,,,,
,,,Aranayaka,Lightning,2023.10.09,3,13,,,,,3,,,,,,
,,,,Heavy Rain,2023.10.11,1,5,,,,,1,,,,,,
,,,Deraniyagala,high wind,2023.10.06,2,9,,,,,2,,,,,,
,2,,Kegalle,Tree fallen,2023.10.09,1,3,,,,,1,,,,,,
,,කෑගල්ල,Ruwanwella,Heavy Rain,2023.10.10,1,5,,,,,1,,,,,,
,,Nffhiy,Galigamuwa,Tree fallen,2023.10.09,1,4,,,,,1,,,,,,
,,Kegalle,,high wind,2023.10.08,3,9,,,,,3,,,,,,
,,,Mawanella,Tree fallen,2023.10.09,1,4,,,,,1,,,,,,
,,,Rambukkan,Heavy Rain/high wind,2023.10.07/10,4,16,,,,,3,,,,,,
,,,,Tree fallen,2023.10.10,1,1,,,,,1,,,,,,
,,,,,2023.10.04,1,1,,,,,1,,,,,,
,,,Dehiovita,Cutting Failure,2023.10.06,2,4,,,,,2,,,,,,
,,,,,2023.10.09,1,5,,,,,1,,,,,,
,,,,Heavy Rain,2023.10.10,1,1,,,,,1,,,,,,
,,,Warakapola,Heavy Rain/high wind,2023.10.07/08,4,12,,,,,4,,,,,,
,,,,Heavy Rain,2023.10.04,1,2,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,34,120,0,0,0,0,33,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,369,1373,0,1,0,3,173,0,0,0,0,0,
