,10,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Walapane,Heavy Rain,2023.10.11-14,7,24,,,,,7,,,,,,
,,,Kottmale,Land Slide,2023.10.11,1,2,,2,,,1,,,,,,
,,,,Flood,2023.10.13,3,18,,,,,,,,,,,
,,,,Cutting Faliure,2023.10.14,11,41,,,,,,,,1,11,41,
,,,Talawakele,Cutting Faliure,2023.10.13,1,6,,,,,1,,,,,,
,,,,Land Slide,2023.10.13,1,1,,,,,1,,,,,,
,,,Nuwara Eliya,Cutting Faliure,2023.10.13-14,3,14,,,,,2,,,,,,
,,,Ambagamuwa,Land Slide,2023.10.13,8,25,,,,,8,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,35,131,0,2,0,0,20,0,0,1,11,41,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,67,261,0,2,0,0,50,1,0,1,11,41,
"වයඹ පලොත
tlNky;
khfhzk; North
Western",11,"කුරුනෑගල
FUdhfy;
Kurunegala",Mawatagama,Heavy rain,2023.10.15,1,5,,,,,1,,,,,,
,,,Bingiriya,Tree Falle,,1,4,,,,,,1,,,,,
,,,Galgamuwa,Heavy Rain/Wind,2023.10.14,1,5,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,3,14,0,0,0,0,2,1,0,0,0,0,
,12,"පුත්තල
Gj;jsk;
Puttalam",Wanatavilluwa,High Wind,2023.10.15,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,3,0,0,0,0,1,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4,17,0,0,0,0,3,1,0,0,0,0,
"බස්ත්‍රනොහිර පලොත
Western
Nky; khfhzk;",13,"මකොළඹ
nfhOk;G
Colombo",Maharagama,Collapse of a wall,2023.10.16,1,1,,1,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,1,0,1,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1,1,0,1,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,2297,8714,1,6,0,27,1171,13,0,6,131,491,
,,,ආ ප ද ො කළ නොකරණ ධ්‍යස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"කළුතර, යොපනය, ඩකලපුව, අම්පොර, ිකුණො ලය, අනුරොධ්‍පුර ො වවුනියොව, යන දිස්ත්‍රික් වල ආපදො තත්ත්වයන් මම් වන විට ප ව මගොස්ත්‍ර ඇති
බැවින් එ දිස්ත්‍රික්කවලට අදොලව පසුගිය දිනවල දී ඇතුලත් කරතිබු දත්ත 0900 පැයට නිකුත් කරන ස්ත්‍විස්ත්‍රතරොත් ක තත්ත්ව වොර්ථොමවන් ඉවත් දිසි ඇ තුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136
කර ඇත",,,,,,,,,,,,,,,,,,
,,,ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
**** යයොදො ඇති දිස්ත්‍රික්කයන්හි අදොල දින සිට යේ දක්වො ආපදො තත්තත්තවය පහව ය ොස්ත්‍ර යනොමැති වීම යහරතුයවන්හ තත්තත්තව වොර්ථොයවන්හ ඉවත්ත කර යනොමැත . විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"මවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
