"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",3,"කෑගල්ල
Nffhiy Kegalle",Kegalle,Tree Fallen,2023.10.25,1,5,,,,,1,,,,,,
,,,Dehiowita,Collapse of a wall,2023.10.30,1,2,,,,,1,,,,,,
,,,Warakapola,Cutting Faliure,2023.10.30,1,3,,,,,1,,,,,,
,,,,Lightning,2023.10.30,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,13,0,0,0,0,4,0,0,0,0,0,
,4,"රත්නපුර
,uj;jpdGhp
Rathnapura",Imbulpe,Heavy Rain,2023.10.29,6,17,,,,,5,1,,,,,
,,,Godakawela,Heavy Rain / Wind,2023.10.28 - 30,2,8,,,,,2,,,,,,
,,,Balangoda,Heavy Rain,2023.10.30,3,9,,,,,3,,,,,,
,,,Weligepola,Lightning,2023.10.30,5,22,,,,,5,,,,,,
,,,Elpatha,High Wind,2023.10.30,3,11,,,,,3,,,,,,
,,,,Cutting Faliure,2023.10.30,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,20,70,0,0,0,0,19,1,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,24,83,0,0,0,0,23,1,0,0,0,0,
"දකුනු පලාත
njd; khfhzk;
Southern",5,"හම්බනවතාට
`k;ghe;Njhl;il
Hambantota",Hambanthota,High Wind,2023.10.26,1,1,,,,,1,,,,,,
,,,Beliaththa,Flash Flood,2023.10.27-28,2,2,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,3,3,0,0,0,0,3,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,3,3,0,0,0,0,3,0,0,0,0,0,
"Western
Nky; khfhzk;
බස්ත්‍රනාහිර පලාත",6,"කළුතර fSj;Jiw
Kalutara",Beruwala,Cutting Faliure,2023.10.30,2,10,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,10,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2,10,0,0,0,0,2,0,0,0,0,0,
"මධ්‍යම පලාත
kj;jpa khfhzk;
Central",7,"නුවර fz;b
Kandy",Thumapane,High Wind,2023.10.30,1,2,,,,,1,,,,,,
,,,Harispaththuwa,Heavy Rain / Wind,2023.10.30,3,12,,,,,3,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,14,0,0,0,0,4,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4,14,0,0,0,0,4,0,0,0,0,0,
"උතුරුමැද පලාත
tlkj;jpa
khfhzk;
North Central",8,"අනුරාධ්‍පුර m.Guk;
Anuradhapura",Palagala,High Wind,2023.10.31,1,4,,,,,1,,,,,,
,,,Ipalogama,High Wind,2023.10.28,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,8,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2,8,0,0,0,0,2,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,1498,5755,0,0,0,21,711,1,0,8,192,669,
,,,ආ ප ද ා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
,,,ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"වවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
