"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :18th December 2023 at 0900hrs",,,,,,,,,,,,,,,,,,,"Reported
Time"
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks",
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",,
"ඌව
Cth khfhzk;
Uva",,බදුල්ල,Haldumulla,Landslide Risk,2023.10.14-27,,,,,,,,,,5,131,427,"1. Koslanda watta tea
factory 2.Dambethenna
3.Poonagala Tea
Factory 4.Bathgoda
Tamil School
5.Haldumulla No 02
Tamil Collage",
,1,"gJs;is
Badulla",Bandarawela,Cutting Faliure,2023.10.14-11.16,,,,,,,,,,1,3,7,"Udaperuwa Muslim
Mosque",
,,,Haputhale,Landslide Risk,2023.10.23,,,,,,,,,,1,9,22,"Galkanda Muthuwana
School",
,,,,Landslide Risk,2023.10.22,,,,,,,,,,1,17,81,Kalban Vidyalaya,
,,,,Landslide Risk,2023.11.20,,,,,,,,,,1,7,26,Glanor Tamil School,
,,,Uwa Paranagama,Landslide Risk,2023.11.14,,,,,,,,,,1,7,19,Thuparama Temple,
,,,Ella,Heavy Rain,2023.11.23,,,,,,,,,,1,2,7,Karandagolle temple,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,0,0,0,0,0,0,0,0,0,11,176,589,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,0,0,0,0,0,0,0,0,0,11,176,589,,
"උතුරු පලාත
tl khfhzk;
Northen ;",,,Manthai East,Flash Flood,2023.12.14,15,53,,,,,,,,,,,,
,2,"මුලතිව්න
Ky;iyj;jPT",Oddusudan,Flash Flood,2023.12.14,66,187,,,,,3,,,2,68,222,"1.Puliyankulam
Common Hall 3
.Karuvelankanda
I.G.T.M. school",
,,Mulaitivu,Maritimepattu,Flash Flood,2023.12.14-17,49,196,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Puthukudiyirippu West,Flash Flood,2023.12.14,13,37,,,,,3,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,143,473,0,0,0,0,6,0,0,2,68,222,,
,3,,Karachchi,Flash Flood,2023.12.17,184,571,,,,,1,,,,,,,
,,"කිලින ාච්චිය
fpspnehr;rp
Killinochchi",Kandawalai,Flash Flood,2023.12.17,320,1055,,,,,4,,,3,91,278,"1.kandawalai M.V
2.Murasumoddai GTMS
School 3.Nagenthira
Vidyalaya",
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,504,1626,0,0,0,0,5,0,0,3,91,278,,
,4,"වව්නියාව
tTdpah
Vavuniya",Vauniya North,Flood,2023.12.16,43,134,,,,,1,,,2,37,137,"01. maravilluppay
center
02. Sinnavampan
center",
,,,Vauniya,,2023.12.16,1,4,,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,44,138,0,0,0,0,2,0,0,2,37,137,,
,5,"මන් ාරම
kd;dhH
Mannar",Nannattan,Heavy Rain & Flood,2023.12.15 - 17,1,4,,,,,,1,,,,,,
,,,Manthai West,Heavy Rain & Flood,,175,627,,,,,1,,,3,131,438,,
,,,Mannar Town,Heavy Rain & Flood,,404,1495,,,,,,,,,,,,
,,,Madhu,Heavy Rain & Flood,,52,119,,,,,,,,1,37,107,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,632,2245,0,0,0,0,1,1,0,4,168,545,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1323,4482,0,0,0,0,14,1,0,11,364,1182,,
