,5,"මන් ාරම
kd;dhH
Mannar",Mantha west,Flood,"2023.12.14-
2023.12.20",171,653,,,,,1,,,,,,
,,,Nannatan,,,1,4,,,,,1,,,,,,
,,,Mannar Town,,,404,1495,,,,,1,,,,,,
,,,Madu,,,52,119,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,628,2271,0,0,0,0,3,0,0,0,0,0,
,6,"යාප ය
aho;g;ghzk; Jaffna",Kopay,Flood,"2023.12.17-
2023.12.20",320,974,,,,,1,,,,,,
,,,Uduvil,,,1,6,,,,,1,,,,,,
,,,Chavakachcheri,,,63,215,,,,,17,,,,,,
,,,Sandipillay,,,79,259,,,,,4,,,,,,
,,,Pointpedro,,,212,712,,,,,6,,,,,,
,,,Chankanai,,,783,2683,,,,,6,,,,,,
,,,Tellippalai,,,117,439,,,,,2,,,,,,
,,,Karaveddy,,,42,144,,,,,2,1,,1,28,91,Annai Pre School
,,,Karainagar,,,79,260,,,,,,,,,,,
,,,Jaffna,,,14,57,,,,,,,,,,,
,,,Velanai,,,13,49,,,,,1,,,,,,
,,,Kayts,,,310,940,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2033,6738,0,0,0,0,40,1,0,1,28,91,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,7981,25367,0,0,0,0,101,1,0,4,75,229,
"ැනග හිර පලාත
fpof;F Eastern",7,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Kinniya,Heavy Rain,2023.12.19,101,214,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,101,214,0,0,0,0,0,0,0,0,0,0,
,8,"අම්පාර
mk;ghiw
Ampara",Irakkamam,Heavy Rain / wind,2023.12.18,1,7,,,,,1,,,,,,
,,,Padiyathalawa,,2023.12.19,1,3,,,,,1,,,,,,
,,,Uhana,,2023.12.19,3,7,,,,,3,,,,,,
,,,Mahaoya,,2023.12.19,1,4,,,,,1,,,,,,
,,,Pothuvil,,2023.12.19,1,2,,,,,1,,,,,,
,,,Navithaveli,,2023.12.20,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,8,25,0,0,0,0,8,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,109,239,0,0,0,0,8,0,0,0,0,0,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",9,"කෑගල්ල
Nffhiy Kegalle",Dehiovita,Tree fallen,2023.12.18,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,4,0,0,0,0,1,0,0,0,0,0,
,10,"රත් පුර
,uj;jpdGhp
Rathnapura",Godakawela,Highwind,2023.12.19,1,3,,,,,1,,,,,,
,,,Elapatha,Heavy Rain,2023.12.19,2,5,,,,,2,,,,,,
,,,Imbulpe,Cutting Faliure,2023.12.16,1,4,,,,,1,,,,,,
,,,,Heavy Rain,2023.12.19,1,2,,,,,1,,,,,,
,,,,Cutting Faliure,2023.12.19,1,5,,,,,1,,,,,,
,,,Nivithgala,Heavy Rain,2023.12.19,1,6,,,,,1,,,,,,
,,,Weligapola,Heavy Rain,2023.12.20,2,6,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,9,31,0,0,0,0,9,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,10,35,0,0,0,0,10,0,0,0,0,0,
