"ඌව
Cth khfhzk;
Uva",18,"බදුල්ල gJs;is
Badulla",Ella,High Wind,2024.05.16,7,28,,,,,1,,,,,,
,,,Ridimaliyadda,Lightning,2024.05.18,2,9,,,,,2,,,,,,
,,,Mahiyanganaya,High Wind,2024.05.17,3,9,,,,,3,,,,,,
,,,Hali Ela,Heavy Rain,2024.05.15,1,4,,,,,1,,,,,,
,,,Haldummulla,Cutting faliture,2024.05.15,3,8,,,,,3,,,,,,
,,,Soranathota,Heavy Rain,2024.05.15,1,4,,,,,1,,,,,,
,,,Welimada,Heavy Rain,2024.05.16,2,9,,,,,2,,,,,,
,,,Lunugala,Lightning,2024.05.16,4,14,,,,,4,,,,,,
,,,Bandarawela,Cutting faliture,2024.05.17,3,13,,,,,3,,,,,,
,,,Passara,High Wind,2024.05.18,1,2,,,,,1,,,,,,
,,,Haputhale,Tree Fallen,2024.05.25,,,1,2,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,27,100,1,2,0,0,21,0,0,0,0,0,
,19,"කමානරාගල/nkhdw
hfiy Moneragala",Badalkumbura,High wind,2024.05.26,1,4,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,4,0,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,28,104,1,2,0,0,21,0,0,0,0,0,
"නැකගනහිර පලාත
fpof;F",20,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Seruwila,High Wind,2024.05.21,4,9,,,,,3,,,,,,
Eastern,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,9,0,0,0,0,3,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4,9,0,0,0,0,3,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,12224,45239,7,14,0,19,4612,71,12,15,298,1132,
,,,ආ ප ද ා කළමනාකරණ මධයස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"කවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
