"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :08th June 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"සබරගමුව පලොත
rg;ufKt
Sabaragamuwa",,"රත් පුර
,uj;jpdGhp
Rathnapura",Elapatha,,2024.06.01-02,1655,5956,1,,,1,27,4,,1,1,5,
,,,Nivithagala,,2024.06.01-03,94,323,,,,,92,11,,,,,
,,,Ayagama,,2024.06.01-02,3756,14959,2,,,6,159,43,3,1,2,9,
,,,Pelmadulla,,2024.06.01-02,110,432,1,,,,101,6,,,,,
,,,Ehaliyagoda,,2024.06.01-02,2139,8254,1,3,,2,712,85,,5,49,140,
,,,Rathnapura,,2024.06.01-02,3116,11615,,1,,,151,8,,1,1,4,
,,,Kuruvita,,2024.06.01-02,1231,5072,,,,4,196,53,,,,,
,,,Kalawana,Heavy Rain/ High,2024.06.01-02,445,1568,,,,,425,33,1,,,,
,1,,Kiriella,"wind/ Flood/ Cutting
faliture/Landslide Risk",2024.06.01-02,2148,8007,,,,2,20,59,,,,,
,,,Kolonna,,2024.06.01-02,4,12,,,,,4,1,,,,,
,,,Balangoda,,2024.06.01-02,6,23,,,,,4,,,,,,
,,,Opanayake,,2024.06.01-02,2,7,,,,,2,,,,,,
,,,Weligepola,,2024.06.01-02,2,10,,,,,2,,,,,,
,,,Imbulpe,,2024.06.02,5,17,,,,,2,,,,,,
,,,Kahawatta,,2024.06.02,9,28,,,,,8,1,,,,,
,,,Ebilipiya,,2024.06.06,1,2,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,14723,56285,5,4,0,15,1906,304,4,8,53,158,
,2,"කෑගල්ල
Nffhiy
Kegalle",Dehiovita,High Wind,2024.06.05,1,1,,,,,1,,,,,,
,,,Ruwanwella,Fire,2024.06.05,1,5,,,,1,,,,,,,
,,,Warakapola,Tree Fallen,2024.06.06,1,4,,,,,1,,,,,,
,,,Galigamuwa,Tree Fallen,2024.06.07,1,3,,,,,1,,,,,,
,,,Rambukkana,Cutting Failure,2024.06.04,,,1,,,,,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,13,1,0,0,1,3,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,14727,56298,6,4,0,16,1909,304,4,8,53,158,
"උතුරු පලොත
tl khfhzk;
Northen",3,"කිලින ොච්චිය
fpspnehr;rp
Killinochchi",Karachchi,Drought,2024.04.17,432,946,,,,,,,,,,,"Drinking water is being
distributed for drought
areas"
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,432,946,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,432,946,0,0,0,0,0,0,0,0,0,0,
