"දකුණු පලාත
njd; khfhzk;
Southern",6,"ගාල්ල fhyp
Galle",Hikkaduwa,Highwind,2024.08.18,1,4,,,,,1,,,,,,
,,,Thawalama,Tree Fallen,2024.08.18,1,4,,,,,1,,,,,,
,,,Imaduwa,Heavy Rain,2024.08.19,1,5,,,,,1,,,,,,
,,,Elpitiya,Heavy Rain,2024.08.19,4,14,,,,,4,,,,,,
,,,Niyagama,Fire,2024.08.20,1,4,,,,,1,,,,,,
,,,Thawalama,Heavy Rain,2024.08.21,1,5,,,,,1,,,,,,
,,,Habaradowa,Heavy Rain,2024.08.20,6,15,,,,,6,,,,,,
,,,Nagoda,Flood,2024.08.22,7,35,,,,,,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,22,86,0,0,0,0,15,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,22,86,0,0,0,0,15,0,0,0,0,0,
"Western
Nky; khfhzk
බසරනාහිර පලාත",7,"ගම්පහ
fk;g`h Gampaha",Ja-ela,Heavy Rain,2024.08.16/17/18,3,12,,,,,3,,,,,,
,,,Katana,Flood,2024.08.17,5,23,,2,,,5,,,,,,
,,,Wattala,High Wind,2024.08.20,13,50,,,,,13,,,,,,
,,,Negambo,High Wind,2024.08.16,10,42,,,,,10,,,,,,
,,,Meerigama,High Wind,2024.08.18,1,3,,,,,1,,,,,,
,,,Biyagama,Heavy Rain/High Wind,2024.08.16/18,3,11,,,,,3,,,,,,
,,,Gampaha,Heavy Rain/Flood,2024.08.19,57,232,,,,,4,,,,,,
,,,Dompe,Tree Falling,2024.08.17/19,2,7,,,,,2,,,,,,
,,,Minuwangoda,High Wind,2024.08.16/18,3,8,,,,,3,,,,,,
,,,Aththanagalle,Tree Fallen,2024.08.18,2,9,,,,,2,,,,,,
,,,Gampaha,Heavy Rain/High Wind,2024.08.19,53,217,,,,,,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,152,614,0,2,0,0,46,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,152,614,0,2,0,0,46,0,0,0,0,0,
"බසරනාහිර පලාත
Western
Nky; khfhzk",8,"කළුතර fSj;Jiw
Kalutara",Mathugama,Heavy Rain,2024.08.17,10,48,,,,,,,,,,,
,,,Beruwala,High Wind,2024.08.16/19/20,12,48,,,,,12,,,,,,
,,,Palindanuwara,Flood,2024.08.17/19/20,199,687,1,,,,3,,,,,,
,,,Walallawita,Flood,2024.08.17,15,64,1,,,,4,5,,,,,
,,,Bulathsinhala,Flood,2024.08.17/18/19,55,176,,,,,11,,,,,,
,,,Madurawala,Flood,2024.08.18/19,6,22,,,,,2,,,,,,
,,,Kalutara,Heavy Rain,2024.08.17/21,177,671,,,,,5,,,,,,
,,,Ingiriya,Heavy Rain,2024.08.17,1,4,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,475,1720,2,0,0,0,38,5,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,475,1720,2,0,0,0,38,5,0,0,0,0,
"වයඹ පලාත
tlNky; khfhzk
North
Western",9,"පුත්තලම
Gj;jsk;
Puttalam",Mahawewa,"High Wind/ Flood/
Flash Flood",2024.08.19,347,942,,,,,2,,,,,,
,,,Madampe,,2024.08.19,792,2882,,,,,1,,,,,,
,,,Naththandiya,,2024.08.19/21,78,271,,,,,,,,2,9,33,
,,,Arachchikattuwa,,2024.08.21,342,1226,,,,,1,,,,,,
,,,Wennappuwa,,2024.08.20,16,81,,,,,1,,,,,,
,,,Puttalam,,2024.08.21,60,211,,,,,,,,,,,
,,,Chilaw,,,595,2334,,,,,,,,,,,
,,,Mundalama,,,13,44,,,,,4,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2243,7991,0,0,0,0,9,0,0,2,9,33,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2243,7991,0,0,0,0,9,0,0,2,9,33,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,3308,11876,3,2,1,0,163,5,0,2,9,33,
,,,ආ ප ද ා කළමනාකරණ මධ්‍යසරථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්සර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"ගවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
