"සබරගමුව පලොත
rg;ufKt
Sabaragamuwa",6,"රත් පුර
,uj;jpdGhp
Rathnapura",Eheliyagoda,"High Wind/Cutting
Failure/Flood/Tree
Fallen",2024.10.11,53,151,,,,,8,,,,,,
,,,Ayagama,,,6,18,,,,,2,,,,,,
,,,Nivitigala,,,1,1,,,,,,,1,,,,
,,,Opanayaka,,,1,2,,,,,1,,,,,,
,,,Kahawatta,,,3,12,,,,,3,,,,,,
,,,Kiriella,,,6,20,,,,,2,,,,,,
,,,Rathnapura,,,1,5,,,,,1,,,,,,
,,,Elapatha,,,2,7,,,,,,,,,,,
,,,Godakawela,,,1,3,,,,,1,,,,,,
,,,Kuruvita,,2024.10.12,14,60,,,,,1,,1,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,88,279,0,0,0,0,19,0,2,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,186,617,0,2,0,0,117,15,2,1,1,7,
,7,"හම්බනනතොට
`k;ghe;Njhl;il
Hambantota",Walasmulla,High Wind,2024.10.10,1,5,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
"දකුණු පලොත
njd; khfhzk;
Southern",8,"ගොල්ල
fhyp
Galle",Welivita Divitura,Cutting Failure,2024.10.10,1,4,,,,,1,,,,,,
,,,Madampagama,Tree Fallen,2024.10.11,2,11,,,,,2,,,,,,
,,,Imaduwa,Cutting Failure,2024.10.10,1,5,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,20,0,0,0,0,4,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,5,25,0,0,0,0,5,0,0,0,0,0,
"උතුරුමැද පලොත
tlkj;jpa
khfhzk;
North Central",9,"නපොනලොන රුව
nghyd;dWit
Polonnaruwa",Dibulagala,High Wind,2024.10.08,32,110,,,,,32,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,32,110,0,0,0,0,32,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,32,110,0,0,0,0,32,0,0,0,0,0,
"මධ්‍යම පලොත
kj;jpa khfhzk;",10,"නුවර
fz;b Kandy",Udunuwara,High Wind,2024.10.08,6,30,,,,,6,,,,,,
Central,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,6,30,0,0,0,0,6,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,6,30,0,0,0,0,6,0,0,0,0,0,
,11,"කුරුණෑගල
FUdhfy;
Kurunegala",Udubaddawa,Lightning,2024.10.07,1,3,,,,,1,,,,,,
,,,,Flood,2024.10.08,2,5,,,,,,,,,,,
,,,Maspotha,High Wind,2024.10.07,1,2,,,,,1,,,,,,
,,,Kurunegala,Heavy Rain/High Wind,2024.10.09,1,3,,,,,1,,,,,,
,,,Pannala,Flood,2024.10.11,40,150,,,,,,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,45,163,0,0,0,0,3,0,0,0,0,0,
"වයඹ පලොත
tlNky;
khfhzk;
North Western",12,"පුත්තලම
Gj;jsk;
Puttalam",Nattandiya,Flood,2024.10.10,1165,5052,,,,,,,,14,262,1418,
,,,Wennappuwa,,2024.10.08,220,465,,,,,,,,,,,
,,,Dankotuwa,,2024.10.10,16,54,,,,,1,,,,,,
,,,Mundalama,,,58,210,,,,,,,,,,,
,,,Mahakubukkadawala,,,2,8,,,,,,,,,,,
,,,Chilaw,,2024.10.09,115,462,,,,,,,,,,,
,,,Madampe,,2024.10.13,15,44,,,,,,,,,,,
,,,Puttalama,,2024.10.12,3,11,,,,,,,,,,,
,,,Mahawewa,,2024.10.13,155,535,,,,,,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1749,6841,0,0,0,0,1,0,0,14,262,1418,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1794,7004,0,0,0,0,4,0,0,14,262,1418,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,34492,134484,3,2,0,1,240,29,2,81,1753,6963,
,,,ආ ප ද ො කළම ොකරණ මධ්‍යසරථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්සර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"නවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
….....................................",,,,,,,,,,,,,,,,,,
