"ස්ත්‍බරෙමුව පලොත
rg;ufKt
Sabaragamuwa",7,"කෑෙල්ල Nffhiy
Kegalle",Galigamuwa,Tree fallen,2024.10.23/22,5,17,,,,,5,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,5,17,0,0,0,0,5,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,5,17,0,0,0,0,5,0,0,0,0,0,
"උතුරු පලොත tl
khfhzk; Northen
;",8,"යොපනය/aho;g;ghzk;
/ Jaffna",Chankanai,Lightning,2024.10.23,1,4,,,,,,,,,,,
,,,Kopay,Flood,2024.10.25,10,37,,,,,,,,,,,
,,,Point Pedro,Flood,2024.10.25,20,74,,,,,4,,,,,,
,,,Delft,Flood,2024.10.25,7,23,,,,,1,,,,,,
,,,Tellipaili,Flood,2024.10.25,1,3,,,,,2,,,,,,
,,,Thenmarachci,Lightning,2024.10.25,1,5,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,40,146,0,0,0,0,8,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,40,146,0,0,0,0,8,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,3511,12860,0,0,0,0,77,0,0,3,89,302,
,,,ආ ප ද ො කළමනොකරණ මධ්‍යස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්ස්ත්‍/ර njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"්වබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
….....................................",,,,,,,,,,,,,,,,,,
