"මධ්‍යම පලාත
kj;jpa khfhzk;
Central",6,"නුවර
fz;b
Kandy",Udapalatha,High Wind & Rain,2024.11.15-17,3,14,,,,,3,,,,,,
,,,,Lightning,2024.11.12,,,,,,,,1,,,,,
,,,Medadumbara,Landslide,2024.11.20,1,5,1,,,,1,,,,,,
,,,Gangaihala Korale,Heavy Rain,2024.11.20,1,6,,,,,1,,,,,,
,,,Akurana,Heavy Rain,2024.11.19,2,7,,,,,2,,,,,,
,,,Yatinuwara,Heavy Rain,2024.11.19,2,9,,,,,2,,,,,,
,,,Poojapitiya,Cutting Faliure,2024.11.19,1,2,,,,,1,,,,,,
,,,Udunuwara,Heavy Rain,2024.11.19,1,1,,,,,1,,,,,,
,,,Hatharaliyadda,Cutting Faliure,2024.11.20,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,12,48,1,0,0,0,12,1,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,12,48,1,0,0,0,12,1,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,580,2091,1,0,1,0,46,21,0,0,0,0,
,,,ආ ප ද ා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්ස්ත්‍/ර njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"වවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
….....................................",,,,,,,,,,,,,,,,,,
