"Western
Nky; khfhzk
බස්ත්‍රනාහිර පලාත",5,"්කාළඹ
nfhOk;G
Colombo",Homagama,High Wind/Lightning,2025.05.25/26,26,106,,,,,26,,,,,,
,,,Kaduwela,High Wind,2025.05.26/27/28,11,47,,,,,11,,,,,,
,,,,,2025.05.30,11,42,,,,,11,,,,,,
,,,Seetawaka,High Wind,2025.05.28,7,26,,,,,7,,,,,,
,,,Kolonnawa,High Wind,2025.05.30,11,41,,,,,10,,1,,,,
,,,Rathmalana,High Wind,2025.05.30,12,48,,,,,12,,,,,,
,,,Padukka,High Wind,2025.05.30,10,41,,,,,10,,,,,,
,,,Dehiwala,High Wind,2025.05.30,8,34,,,,,8,,,,,,
,,,Tibirigasyaya,High Wind,2025.05.30,12,41,,5,,,10,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,108,426,0,5,0,0,105,0,1,0,0,0,
,6,"ගම්පහ fk;g`h
Gampaha",Ja ela,High Wind,2025.05.29,22,82,,,,,22,,,,,,
,,,Katana,Tree fallen,2025.05.29,6,25,,,,,6,,,,,,
,,,Attanagalla,High Wind,2025.05.29/30,11,45,,,,,11,,,,,,
,,,Biyagama,High Wind,2025.05.29,27,91,,,,,27,,,,,,
,,,Mahara,High Wind,2025.05.29,54,226,,,,,54,,,,,,
,,,Dompe,High Wind,2025.05.30,21,64,,,,,21,,,,,,
,,,Kelaniya,High Wind,2025.05.29,17,77,,,,,17,,,,,,
,,,Gampaha,High wind,2025.05.29,33,131,,,,,33,,,,,,
,,,Divulapitiya,High Wind,2025.05.29,28,127,,,,,28,,,,,,
,,,Negambo,High Wind,2025.05.29,19,79,,,,,19,,,,,,
,,,Meerigama,High Wind,2025.05.30,19,59,,,,,19,,,,,,
,,,Wattala,High Wind,2025.05.29,53,217,,,,,53,,,,,,
,,,Menuwangoda,High wind,2025.05.29,17,55,,,,,17,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,327,1278,0,0,0,0,327,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,545,2116,0,5,0,0,536,1,4,0,0,0,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",7,"රත්නපුර
,uj;jpdGhp
Rathnapura",Nivitigala,Tree fallen,2025.05.30,8,34,,,,,8,,,,,,
,,,Weligepola,,,7,15,,,,,7,,,,,,
,,,Opanayaka,,,6,26,,,,,6,,,,,,
,,,Ayagama,,,2,8,,,,,2,,,,,,
,,,Kahawatta,,,1,4,,,,,1,,,,,,
,,,Godakawela,,,9,38,,,,,9,,,,,,
,,,Kalawana,,,14,56,,,,,14,,,,,,
,,,Rathnapura,,,55,197,,,,,55,,,,,,
,,,Kiriella,,,36,146,,,,,36,,,,,,
,,,Balangoda,,,13,42,,,,,13,,,,,,
,,,Eheliyagoda,,,47,175,,,,,47,,,,,,
,,,Pelmadulla,,,16,68,,,,,16,,,,,,
,,,Kolonnawa,,,1,1,,,,,1,,,,,,
,,,Kuruvita,,,37,153,,,,,37,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,252,963,0,0,0,0,252,0,0,0,0,0,
,8,"කෑගල්ල
Nffhiy
Kegalle",Ruwanwella,Tree fallen,2025.05.27/28/29,8,30,,,,,8,,,,,,
,,,Mawanella,,,8,33,,,,,8,,,,,,
,,,Dehiovita,,,7,25,,,,,7,,,,,,
,,,Kegalla,,,8,41,,,,,8,,,,,,
,,,Deraniyagala,,,7,28,,,,,7,,,,,,
,,,Warakapola,,,9,43,,,,,9,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,47,200,0,0,0,0,47,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,299,1163,0,0,0,0,299,0,0,0,0,0,
මධ්‍යම පලාත/kj;jpa,9,"නුවර
fz;b
Kandy",Ududumbara,High Wind / Tree fallen,2025.05.26/27/28,6,19,,,,,6,,,,,,
,,,Thumpane,,,3,12,,,,,3,,,,,,
,,,Udunuwara,,,12,51,,,,,12,,,,,,
,,,Kundasale,,,16,63,,,,,16,,,,,,
,,,Harispattuwa,,,11,47,,,,,11,,,,,,
,,,Delthota,,,8,39,,,,,8,,,,,,
,,,Poojapitiya,,,2,6,,,,,2,,,,,,
,,,Pasbagekoralaya,,,4,11,,,,,4,,,,,,
,,,Panvila,,,11,50,,,,,8,,,,,,
,,,Pathahewaheta,,,6,23,,,,,6,,,,,,
,,,Minipe,,,2,10,,,,,2,,,,,,
,,,Yatinuwara,,,10,33,,,,,10,,,,,,
,,,Akurana,,,9,32,,,,,9,,,,,,
,,,Pathadumbara,,,38,141,,,,,38,,,,,,
khfhzk;/ Central,,,Hatharaliyadda,,,1,3,,,,,1,,,,,,
,,,Doluwa,,,5,16,,,,,5,,,,,,
,,,Udapalatha,,,3,8,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,147,564,0,0,0,0,143,0,0,0,0,0,
