,අනු,,දිස්ික්කය,,දිනය,ආපදාව,ප්‍රා.වේ.වකා,මධ්‍යස්ථානවේ නම,,,පවුේ,,,පුද්ගලයින්,
,අං.,,,,,,,,,,සංඛ්‍යාව,,,සංඛ්‍යාව,
01,,,රත්නපුර,,2025.11.21,"නොයයෑමම්
අවදොන",මකොමළොනන,"මබොරළුවමේ අයින
ග්‍රො.ි. වසමම් ප්‍රජොශක්ති
ධයස්ථොනය",,08,,,27,,
,,,,,2025.11.24,"තද වර්ෂොව
හො
ගල්මපරළී
මම්
අවදොන",බලංමගොඩ,"මපට්ටිගල සිංහල
විදයොලය",,08,,,31,,
,,,,,2025.11.25,,,"එමගොඩ වමල්මබොඩ
විදයොලය",,14,,,37,,
,,,දිස්ික් එකතුව (03),,,,,,,30,,,95,,
02,,,නුවරඑළිය,,2025.11.21,"නොයයෑමම්
අවදොන",නුවරඑළිය,"මගොරඬිමහල ග්‍රො.ි
වසමම් සංඛ්‍ගරි
විහොරස්ථොනය",,09,,,27,,
,,,,දිස්ික් එකතුව (01),,,,,,,09,,,27,
03,,,යොපනය,,2025.11.23,"තද සුළං /
ක්ෂණික
ගංවතුර",චොවකච්මච්රිය,"J /327 ග්‍රො.ි වසමම්
මපොක්කි GTMS
පොසල",,02,,,09,,
,දිස්ික් එකතුව (01),,,,,,,,,,02,,,09,
04,,,අම්පොර,,2025.11.27,ගංවතුර,සයිනද රුදු,"අල් ිලොල් විදුහල
සයිනද රුදු",,26,,,54,,
,,,,,,,කල්මුමණ්ඩ,"රුතමුමවයි
පුස්තකොලය",,26,,,97,,
,,,,,,,අඩ්ඩොලච්මච්න,"නීලමිය ප්‍රො.වි
අඩ්ඩොලච්මච්න",,06,,,20,,
,,,,,,,අලයොිමවම්ු,තිරුවලුවර් විදුහල,,11,,,36,,
,,,,,,,අම්පොර,මිිඳුපුර,,10,,,27,,
,,,,,,,සො පුර,,,20,,,47,,
,,,,,,,මස්නොනොයකපුර,,,08,,,29,,
,දිස්ික් එකතුව (07),,,,,,,,,,107,,,310,
05,,,ම ොණරොගල,,2025.11.27,"ජල
ගැලීම්",ැදග,මස්නොපති විදුහල,,21,,,83,,
,,,,දිස්ික් එකතුව (01),,,,,,,21,,,83,
,,,මුළු සුරක්ිත මධ්‍යස්ථාන සංඛ්‍යාව (13),,,,,,,169,,,524,,
