,අ.අ,,,දිස්ික්කය,,"ප්‍රා.වේ.වකා.
සංඛ්‍යාව",,,ආපදාව,,,"බලපෑමට
ලක්ූ පවුේ",,,,බලපෑමට,,"මිය
යෑම්",,,අතුරුදහන්,,,,ආරක්ිත,,"පවුේ
සංඛ්‍යාව",,,"පුද්ගලයින්
සංඛ්‍යාව",,
,,,,,,,,,,,,,,,,ලක්ූ,,,,,,,,,ස්ථාන,,,,,,,
,,,,,,,,,,,,,,,,පුද්ගලයින්,,,,,,,,,සංඛ්‍යාව,,,,,,,
1,,,පුත්තලම,,,16,,,"ගංවතුර /
ක්ෂණික
ගංවතුර
/තද වැසි/
තද සුළං/
අකුණු සැර/
නාය යෑම්/
පස්කණ්ඩි
කඩා වැටීම/
ගල්
පපරලීම/
ගස් කඩා
වැටීම",,,"9,937",,,"36,574",,,-,,,-,,,11,,,205,,,925,,
2,,,බදුල්ල,,,15,,,,,,"2,099",,,"6,863",,,30,,,4,,,44,,,"1,271",,,"4,270",,
3,,,පමාණරාගල,,,09,,,,,,593,,,"1,980",,,2,,,-,,,8,,,207,,,738,,
4,,,මාතපල්,,,11,,,,,,325,,,"1,800",,,8,,,2,,,6,,,143,,,490,,
5,,,පකාළඹ,,,13,,,,,,"1,061",,,"3,611",,,-,,,-,,,5,,,43,,,133,,
6,,,මඩකලපුව,,,14,,,,,,"4,475",,,"14,049",,,-,,,1,,,12,,,425,,,"1,215",,
7,,,කෑගල්ල,,,10,,,,,,800,,,"3,600",,,8,,,2,,,10,,,271,,,"1,267",,
8,,,ත්‍රිකුණාමලය,,,05,,,,,,"3,844",,,"11,350",,,-,,,-,,,4,,,204,,,589,,
9,,,අනුරාධපුර,,,21,,,,,,"1,537",,,"4,737",,,1,,,-,,,26,,,668,,,"1,750",,
10,,,මුලතිව්,,,03,,,,,,670,,,782,,,-,,,-,,,-,,,-,,,-,,
11,,,කිලිපනාච්චි,,,02,,,,,,35,,,172,,,-,,,-,,,1,,,27,,,134,,
12,,,අම්පාර,,,18,,,,,,"6,412",,,"20,377",,,5,,,-,,,11,,,642,,,"1,490",,
13,,,යාපනය,,,10,,,,,,231,,,746,,,-,,,-,,,1,,,2,,,9,,
14,,,පපාපලාන්නරුව,,,03,,,,,,"4,218",,,"14,943",,,-,,,-,,,-,,,-,,,-,,
15,,,නුවර,,,19,,,,,,448,,,"1,715",,,4,,,19,,,7,,,115,,,267,,
16,,,රත්නපුර,,,15,,,,,,298,,,"1,124",,,-,,,-,,,6,,,49,,,154,,
17,,,කුරුණෑගල,,,28,,,,,,"2,805",,,"9,572",,,3,,,-,,,30,,,566,,,815,,
18,,,නුවරඑළිය,,,09,,,,,,250,,,920,,,6,,,4,,,49,,,380,,,"1,603",,
19,,,මාතර,,,12,,,,,,334,,,"1,168",,,-,,,-,,,-,,,-,,,-,,
20,,,හම්බන්පතාට,,,08,,,,,,"1,753",,,"6,336",,,1,,,-,,,7,,,-,,,-,,
21,,,ගාල්ල,,,20,,,,,,252,,,841,,,1,,,2,,,-,,,-,,,-,,
22,,,කළුතර,,,10,,,,,,72,,,287,,,-,,,-,,,3,,,49,,,386,,
23,,,මන්නාරම,,,02,,,,,,33,,,134,,,-,,,-,,,-,,,48,,,126,,
24,,,ගම්පහ,,,08,,,,,,"17,465",,,"71,443",,,-,,,-,,,7,,,208,,,803,,
25,,,වවුනියාව,,,04,,,,,,"1,228",,,"4,158",,,-,,,-,,,18,,,367,,,"1,279",,
,එකතුව,,,,,,285,,,,,,"61,175",,,"219,282",,,69,,,34,,,266,,,"5,890",,,"18,443",
